date,IVZ,KCE
2013-07-05,31.92,40.7
2013-07-08,31.93,40.97
2013-07-09,32.05,41.43
2013-07-10,31.34,41.4
2013-07-11,32.07,41.89
2013-07-12,31.75,42.14
2013-07-15,32.13,42.54
2013-07-16,31.94,42.03
2013-07-17,31.82,42.11
2013-07-18,32.52,42.75
2013-07-19,32.49,42.78
2013-07-22,33.0,43.14
2013-07-23,32.98,43.33
2013-07-24,32.69,42.88
2013-07-25,32.8,43.33
2013-07-26,32.85,43.35
2013-07-29,32.23,42.89
2013-07-30,32.24,43.1
2013-07-31,32.19,43.26
2013-08-01,33.04,44.12
2013-08-02,33.1,44.14
2013-08-05,33.12,44.07
2013-08-06,33.01,43.59
2013-08-07,32.67,43.23
2013-08-08,32.6,43.35
2013-08-09,32.57,43.37
2013-08-12,32.3,43.02
2013-08-13,33.12,43.3801
2013-08-14,32.88,43.206
2013-08-15,32.11,42.4
2013-08-16,32.04,42.44
2013-08-19,31.2,41.81
2013-08-20,31.46,42.36
2013-08-21,31.09,42.02
2013-08-22,31.6,42.61
2013-08-23,31.57,42.63
2013-08-26,31.23,42.55
2013-08-27,30.32,41.29
2013-08-28,30.49,41.33
2013-08-29,30.86,41.78
2013-08-30,30.36,41.24
2013-09-03,30.59,41.53
2013-09-04,30.99,42.21
2013-09-05,30.76,42.3
2013-09-06,30.45,42.49
2013-09-09,30.83,42.93
2013-09-10,31.37,43.69
