date,CSCO,XLK
2012-06-26,16.815,28.01
2012-06-27,16.73,28.18
2012-06-28,16.48,27.95
2012-06-29,17.17,28.725
2012-07-02,17.08,28.89
2012-07-03,17.15,29.12
2012-07-05,16.94,29.12
2012-07-06,16.77,28.69
2012-07-09,16.65,28.63
2012-07-10,16.41,28.31
2012-07-11,16.38,28.18
2012-07-12,15.98,27.9
2012-07-13,16.31,28.27
2012-07-16,16.19,28.24
2012-07-17,16.23,28.35
2012-07-18,16.7,28.84
2012-07-19,16.675,29.09
2012-07-20,16.36,28.755
2012-07-23,16.07,28.48
2012-07-24,15.12,28.19
2012-07-25,15.42,28.08
2012-07-26,15.38,28.51
2012-07-27,15.69,29.13
2012-07-30,15.87,29.14
2012-07-31,15.95,29.26
2012-08-01,15.98,29.16
2012-08-02,15.74,28.97
2012-08-03,16.35,29.54
2012-08-06,16.69,29.75
2012-08-07,17.14,29.95
2012-08-08,17.16,29.96
2012-08-09,17.7,30.06
2012-08-10,17.54,30.13
2012-08-13,17.34,30.22
2012-08-14,17.17,30.16
2012-08-15,17.35,30.17
2012-08-16,19.02,30.58
2012-08-17,19.06,30.75
2012-08-20,18.94,30.78
2012-08-21,19.16,30.58
2012-08-22,19.219,30.63
2012-08-23,19.125,30.38
2012-08-24,19.2,30.57
2012-08-27,19.36,30.6
2012-08-28,19.22,30.53
2012-08-29,19.2,30.59
2012-08-30,18.9,30.25
2012-08-31,19.08,30.49
2012-09-04,18.995,30.49
2012-09-05,18.9,30.46
2012-09-06,19.725,31.14
2012-09-07,19.56,31.09
2012-09-10,19.15,30.76
2012-09-11,19.04,30.84
2012-09-12,19.08,31.01
2012-09-13,19.36,31.43
2012-09-14,19.49,31.58
2012-09-17,19.16,31.61
2012-09-18,19.045,31.63
2012-09-19,19.12,31.66
2012-09-20,19.11,31.6
2012-09-21,18.9,31.51
2012-09-24,18.805,31.31
2012-09-25,18.665,30.87
2012-09-26,18.575,30.65
2012-09-27,18.795,31.045
2012-09-28,19.095,30.825
2012-10-01,19.04,30.76
2012-10-02,18.87,30.8
2012-10-03,18.93,30.96
2012-10-04,18.895,31.05
2012-10-05,18.86,30.89
2012-10-08,18.9,30.57
2012-10-09,18.8,30.18
2012-10-10,18.31,30.06
2012-10-11,18.26,29.94
2012-10-12,18.405,29.92
2012-10-15,18.55,30.07
2012-10-16,18.8526,30.48
2012-10-17,18.705,30.32
2012-10-18,18.605,29.965
2012-10-19,18.0401,29.29
2012-10-22,18.19,29.49
2012-10-23,18.01,29.17
2012-10-24,17.38,29.0
2012-10-25,17.2,28.94
2012-10-26,17.29,28.99
2012-10-31,17.145,28.8705
2012-11-01,17.505,29.34
2012-11-02,17.35,28.96
2012-11-05,17.4,29.12
2012-11-06,17.48,29.25
2012-11-07,17.21,28.52
2012-11-08,16.83,28.11
2012-11-09,16.82,28.24
2012-11-12,16.855,28.195
2012-11-13,16.85,28.06
2012-11-14,17.6608,27.775
2012-11-15,17.9413,27.62
2012-11-16,17.99,27.66
2012-11-19,18.3008,28.415
