date,PNC,KBE
2012-07-18,61.01,22.14
2012-07-19,61.315,21.87
2012-07-20,59.14,21.44
2012-07-23,57.61,21.12
2012-07-24,57.37,21.19
2012-07-25,57.67,21.28
2012-07-26,58.44,21.51
2012-07-27,59.56,21.82
2012-07-30,59.82,21.77
2012-07-31,59.1,21.72
2012-08-01,59.1,21.63
2012-08-02,58.5,21.4
2012-08-03,60.25,21.98
2012-08-06,60.13,21.98
2012-08-07,60.77,22.21
2012-08-08,61.04,22.28
2012-08-09,60.77,22.24
2012-08-10,60.73,22.19
2012-08-13,60.42,22.21
2012-08-14,60.43,22.22
2012-08-15,60.97,22.33
2012-08-16,61.55,22.45
2012-08-17,62.05,22.6
2012-08-20,61.69,22.61
2012-08-21,62.2,22.63
2012-08-22,62.16,22.54
2012-08-23,61.83,22.27
2012-08-24,62.05,22.37
2012-08-27,62.01,22.49
2012-08-28,61.97,22.51
2012-08-29,62.57,22.72
2012-08-30,62.04,22.58
2012-08-31,62.16,22.59
2012-09-04,62.34,22.74
2012-09-05,61.84,22.7
2012-09-06,63.01,23.25
2012-09-07,63.8,23.51
2012-09-10,63.88,23.38
2012-09-11,63.96,23.53
2012-09-12,64.15,23.71
2012-09-13,65.74,24.19
2012-09-14,66.78,24.63
2012-09-17,65.66,24.2
2012-09-18,65.67,24.06
2012-09-19,66.16,24.13
2012-09-20,65.74,23.94
2012-09-21,65.85,23.77
2012-09-24,65.59,23.88
2012-09-25,64.54,23.53
2012-09-26,63.51,23.39
2012-09-27,63.83,23.59
2012-09-28,63.1,23.48
2012-10-01,62.76,23.51
2012-10-02,63.94,23.6
2012-10-03,64.38,23.92
2012-10-04,64.75,24.33
2012-10-05,64.8,24.36
2012-10-08,64.49,24.27
2012-10-09,64.4,24.04
2012-10-10,64.55,24.08
2012-10-11,64.95,24.24
2012-10-12,62.73,23.65
2012-10-15,62.93,23.74
2012-10-16,60.4,23.5
2012-10-17,59.77,23.85
2012-10-18,59.84,23.8597
2012-10-19,59.42,23.7
2012-10-22,59.09,23.78
2012-10-23,58.64,23.5
2012-10-24,58.0,23.49
2012-10-25,58.44,23.68
2012-10-26,57.76,23.52
2012-10-31,58.2,23.65
2012-11-01,59.25,23.91
2012-11-02,59.19,23.68
2012-11-05,58.73,23.62
2012-11-06,59.08,23.95
2012-11-07,56.6,23.09
2012-11-08,56.25,22.8884
2012-11-09,56.26,22.91
2012-11-12,56.31,22.91
2012-11-13,54.96,22.67
2012-11-14,53.69,22.29
2012-11-15,54.37,22.33
2012-11-16,54.34,22.5
2012-11-19,54.91,22.9
2012-11-20,54.8,23.07
2012-11-21,54.81,23.02
2012-11-23,55.75,23.45
2012-11-26,55.55,23.35
2012-11-27,55.03,23.16
2012-11-28,55.35,23.2
2012-11-29,55.35,23.26
2012-11-30,56.14,23.27
2012-12-03,55.31,23.17
2012-12-04,55.08,22.98
2012-12-05,55.89,23.19
2012-12-06,55.33,23.21
2012-12-07,55.8,23.36
2012-12-10,55.88,23.4003
2012-12-11,56.24,23.49
2012-12-12,56.7,23.56
2012-12-13,56.54,23.42
2012-12-14,55.85,23.29
2012-12-17,57.87,23.85
2012-12-18,59.52,24.259
2012-12-19,58.6311,24.1799
2012-12-20,59.17,24.4
2012-12-21,58.31,23.93
2012-12-24,58.57,23.83
2012-12-26,58.05,23.76
2012-12-27,57.95,23.67
2012-12-28,57.46,23.56
2012-12-31,58.31,23.83
2013-01-02,59.54,24.57
2013-01-03,59.75,24.64
2013-01-04,60.48,25.03
2013-01-07,61.03,24.97
2013-01-08,60.25,24.85
2013-01-09,60.17,24.73
2013-01-10,61.14,24.97
2013-01-11,60.05,24.76
2013-01-14,59.45,24.8
2013-01-15,59.77,24.93
2013-01-16,59.78,25.0
2013-01-17,62.01,25.2
2013-01-18,61.84,25.12
2013-01-22,62.12,25.34
2013-01-23,61.84,25.21
2013-01-24,61.86,25.3
2013-01-25,61.97,25.34
2013-01-28,61.97,25.33
2013-01-29,61.91,25.38
2013-01-30,61.82,25.49
2013-01-31,61.8,25.48
2013-02-01,63.2,25.85
2013-02-04,62.49,25.6
2013-02-05,63.19,25.94
2013-02-06,63.34,26.01
2013-02-07,63.65,26.02
2013-02-08,63.35,26.09
2013-02-11,64.0,26.18
2013-02-12,64.77,26.39
2013-02-13,64.17,26.38
2013-02-14,63.87,26.31
2013-02-15,63.87,26.22
2013-02-19,63.51,26.42
2013-02-20,63.17,26.06
2013-02-21,62.39,25.75
2013-02-22,62.9,26.04
2013-02-25,60.82,25.41
2013-02-26,61.14,25.57
2013-02-27,61.68,25.91
2013-02-28,62.39,26.0
2013-03-01,62.78,26.0
2013-03-04,63.52,26.23
2013-03-05,63.66,26.35
2013-03-06,64.16,26.46
2013-03-07,64.81,26.75
2013-03-08,65.02,26.85
2013-03-11,65.87,27.06
2013-03-12,65.42,26.91
2013-03-13,65.93,27.04
2013-03-14,66.26,27.23
2013-03-15,66.8,27.17
2013-03-18,66.25,26.92
2013-03-19,66.25,26.9
2013-03-20,66.7,27.12
2013-03-21,66.03,26.88
2013-03-22,66.21,26.93
2013-03-25,66.14,26.91
2013-03-26,66.28,27.05
2013-03-27,66.19,26.98
2013-03-28,66.5,26.93
2013-04-01,65.79,26.65
2013-04-02,66.81,26.5
2013-04-03,65.13,26.11
2013-04-04,65.6,26.24
2013-04-05,65.24,26.24
2013-04-08,66.07,26.46
2013-04-09,66.35,26.58
2013-04-10,67.19,27.0
2013-04-11,67.31,26.95
2013-04-12,65.81,26.62
2013-04-15,63.75,25.93
2013-04-16,64.79,26.22
2013-04-17,65.05,25.71
2013-04-18,65.24,25.46
2013-04-19,65.23,25.78
2013-04-22,65.41,25.77
2013-04-23,67.21,26.09
2013-04-24,68.44,26.41
2013-04-25,68.7,26.47
2013-04-26,68.1,26.3
2013-04-29,68.41,26.42
2013-04-30,67.88,26.4
2013-05-01,67.17,26.07
2013-05-02,67.18,26.32
2013-05-03,68.11,26.55
2013-05-06,68.26,26.87
2013-05-07,68.76,27.21
2013-05-08,68.97,27.3
2013-05-09,68.72,27.18
2013-05-10,68.57,27.34
2013-05-13,68.76,27.38
2013-05-14,70.17,27.8
2013-05-15,70.85,28.0
2013-05-16,70.46,27.93
2013-05-17,71.51,28.32
2013-05-20,71.28,28.46
2013-05-21,72.2,28.44
2013-05-22,71.24,28.02
2013-05-23,70.94,27.96
2013-05-24,71.11,28.04
2013-05-28,71.03,28.37
2013-05-29,71.8,28.33
2013-05-30,72.88,28.72
2013-05-31,71.64,28.34
2013-06-03,71.83,28.24
2013-06-04,71.09,28.0
2013-06-05,69.83,27.59
2013-06-06,70.27,27.9
2013-06-07,71.1,28.29
2013-06-10,72.93,28.53
2013-06-11,71.75,28.15
2013-06-12,70.84,27.82
2013-06-13,71.76,28.23
2013-06-14,71.0,27.87
2013-06-17,71.29,28.02
2013-06-18,71.74,28.25
2013-06-19,70.88,28.06
2013-06-20,71.05,27.91
2013-06-21,71.71,27.98
2013-06-24,70.53,27.61
2013-06-25,72.7,28.22
2013-06-26,73.18,28.38
2013-06-27,73.63,28.84
2013-06-28,72.92,28.72
2013-07-01,73.49,29.1
2013-07-02,73.85,29.26
2013-07-03,73.97,29.33
2013-07-05,75.92,30.1
2013-07-08,76.35,30.21
2013-07-09,76.26,30.3
2013-07-10,74.59,29.99
2013-07-11,74.1,29.72
2013-07-12,74.91,30.07
2013-07-15,75.06,30.28
2013-07-16,74.5,29.95
2013-07-17,73.55,30.17
2013-07-18,75.91,30.8
2013-07-19,77.19,30.89
2013-07-22,77.18,31.2
2013-07-23,77.14,31.48
2013-07-24,77.1,31.6
2013-07-25,76.0,31.47
2013-07-26,75.9,31.34
2013-07-29,75.87,31.08
2013-07-30,75.54,31.2
2013-07-31,76.05,31.24
2013-08-01,77.65,31.98
2013-08-02,77.43,31.96
2013-08-05,77.16,31.9
2013-08-06,76.53,31.55
2013-08-07,75.79,31.31
2013-08-08,76.22,31.42
2013-08-09,75.96,31.3
2013-08-12,76.11,31.26
2013-08-13,75.98,31.26
2013-08-14,75.88,31.26
2013-08-15,74.92,30.93
2013-08-16,74.91,31.05
2013-08-19,73.93,30.69
2013-08-20,74.59,31.12
2013-08-21,74.4,30.89
2013-08-22,74.99,31.38
2013-08-23,75.02,31.21
2013-08-26,74.21,30.98
2013-08-27,72.24,29.94
2013-08-28,72.55,30.1
2013-08-29,72.58,30.24
2013-08-30,72.27,29.89
2013-09-03,72.48,29.87
2013-09-04,72.54,30.07
2013-09-05,73.35,30.31
2013-09-06,73.19,30.16
2013-09-09,72.95,30.29
2013-09-10,73.65,30.57
2013-09-11,73.56,30.45
