date,JCI,XHB
2012-04-12,31.83,21.03
2012-04-13,32.57,20.73
2012-04-16,32.4,20.8
2012-04-17,33.16,21.08
2012-04-18,32.84,20.79
2012-04-19,32.35,20.525
2012-04-20,31.96,20.5
2012-04-23,31.31,20.24
2012-04-24,31.02,20.53
2012-04-25,31.66,20.94
2012-04-26,32.02,21.35
2012-04-27,32.33,21.9
2012-04-30,31.97,21.515
2012-05-01,32.38,21.78
2012-05-02,32.42,22.21
2012-05-03,32.54,21.84
2012-05-04,31.61,21.47
2012-05-07,31.56,21.46
2012-05-08,31.77,21.19
2012-05-09,31.61,21.35
2012-05-10,31.79,21.27
2012-05-11,31.82,21.54
2012-05-14,31.76,21.11
2012-05-15,31.38,21.23
2012-05-16,31.3,21.06
2012-05-17,30.43,19.97
2012-05-18,29.55,19.73
2012-05-21,30.32,20.13
2012-05-22,30.36,20.47
2012-05-23,30.84,20.68
2012-05-24,30.83,20.95
2012-05-25,30.54,21.04
2012-05-29,31.26,21.52
2012-05-30,30.52,20.77
2012-05-31,30.14,20.71
2012-06-01,29.03,19.54
2012-06-04,28.6,19.06
2012-06-05,28.86,19.53
2012-06-06,29.6,19.91
2012-06-07,29.45,19.98
2012-06-08,29.46,20.38
2012-06-11,28.34,19.7
2012-06-12,28.6,20.025
2012-06-13,27.98,19.59
2012-06-14,27.98,20.09
2012-06-15,28.21,20.23
2012-06-18,28.04,20.63
2012-06-19,28.75,20.85
2012-06-20,28.41,20.66
2012-06-21,27.37,19.705
2012-06-22,26.95,19.85
2012-06-25,26.57,19.55
2012-06-26,26.69,19.97
2012-06-27,26.88,20.32
2012-06-28,26.69,20.52
2012-06-29,27.71,21.345
2012-07-02,27.04,21.53
2012-07-03,27.81,21.61
2012-07-05,27.74,21.85
2012-07-06,27.03,21.69
2012-07-09,26.75,21.58
2012-07-10,26.77,21.15
2012-07-11,26.89,20.94
2012-07-12,26.64,21.24
2012-07-13,27.56,21.62
2012-07-16,27.43,21.395
2012-07-17,27.49,21.42
2012-07-18,28.32,21.56
2012-07-19,26.07,21.71
2012-07-20,25.28,21.63
2012-07-23,24.51,21.57
2012-07-24,23.51,21.115
2012-07-25,23.68,20.89
