date,PHM,XHB
2011-08-11,4.44,14.03
2011-08-12,4.52,14.26
2011-08-15,4.84,14.67
2011-08-16,4.83,14.54
2011-08-17,4.7,14.33
2011-08-18,4.16,13.47
2011-08-19,3.91,13.18
2011-08-22,3.76,13.17
2011-08-23,3.61,13.49
2011-08-24,3.76,13.86
2011-08-25,4.24,13.89
2011-08-26,4.48,14.31
2011-08-29,4.62,15.0
2011-08-30,4.95,15.17
2011-08-31,4.8,15.07
2011-09-01,4.6,14.77
2011-09-02,4.38,14.22
2011-09-06,4.21,14.16
2011-09-07,4.58,14.65
2011-09-08,4.48,14.305
2011-09-09,4.3,13.86
2011-09-12,4.26,14.0
2011-09-13,4.3,14.1
2011-09-14,4.4,14.5
2011-09-15,4.5,14.62
2011-09-16,4.46,14.59
2011-09-19,4.38,14.44
2011-09-20,4.51,14.33
2011-09-21,4.37,13.81
2011-09-22,4.06,13.26
2011-09-23,4.05,13.44
2011-09-26,4.11,13.88
2011-09-27,4.16,14.02
2011-09-28,3.98,13.575
2011-09-29,4.14,13.83
2011-09-30,3.95,13.29
2011-10-03,3.54,12.55
2011-10-04,3.64,13.2
2011-10-05,3.92,13.66
2011-10-06,4.03,14.06
2011-10-07,4.01,13.83
2011-10-10,4.23,14.49
2011-10-11,4.24,14.51
2011-10-12,4.41,14.77
2011-10-13,4.36,14.71
2011-10-14,4.43,15.03
2011-10-17,4.01,14.49
2011-10-18,4.46,15.35
2011-10-19,4.43,15.18
2011-10-20,4.67,15.4
2011-10-21,4.9,16.025
2011-10-24,5.21,16.49
2011-10-25,4.81,16.03
2011-10-26,4.93,16.38
2011-10-27,5.41,16.98
2011-10-28,5.5,16.58
2011-10-31,5.18,16.14
2011-11-01,5.0,15.52
2011-11-02,5.22,15.87
2011-11-03,5.53,16.16
2011-11-04,5.48,16.17
2011-11-07,5.74,16.26
2011-11-08,5.98,16.62
2011-11-09,5.54,15.817
2011-11-10,5.61,16.0
2011-11-11,5.76,16.49
2011-11-14,5.54,16.31
2011-11-15,5.53,16.48
2011-11-16,5.59,16.35
2011-11-17,5.46,16.07
2011-11-18,5.47,15.99
2011-11-21,5.38,15.61
2011-11-22,5.42,15.56
2011-11-23,5.15,15.07
2011-11-25,5.22,14.96
2011-11-28,5.52,15.51
2011-11-29,5.66,15.72
2011-11-30,6.11,16.54
2011-12-01,6.08,16.63
2011-12-02,6.16,16.79
2011-12-05,6.39,17.12
2011-12-06,6.48,17.15
2011-12-07,6.45,17.22
2011-12-08,6.07,16.66
2011-12-09,6.32,17.14
2011-12-12,6.22,16.92
2011-12-13,5.96,16.33
2011-12-14,5.6,15.83
2011-12-15,5.74,16.04
2011-12-16,5.76,16.13
2011-12-19,5.59,15.95
2011-12-20,6.17,16.79
2011-12-21,6.31,17.03
2011-12-22,6.2,17.095
2011-12-23,6.08,17.085
2011-12-27,6.05,17.005
2011-12-28,5.95,16.65
2011-12-29,6.31,17.25
2011-12-30,6.31,17.1
2012-01-03,6.52,17.37
2012-01-04,6.54,17.58
2012-01-05,7.04,18.03
2012-01-06,7.1,17.93
2012-01-09,7.25,18.03
2012-01-10,7.34,18.35
2012-01-11,7.7,18.65
2012-01-12,7.69,18.65
2012-01-13,7.62,18.43
2012-01-17,7.5,18.47
2012-01-18,7.94,19.12
2012-01-19,8.08,19.17
2012-01-20,7.76,18.68
2012-01-23,7.42,18.6
2012-01-24,7.76,18.9
2012-01-25,7.99,19.3
2012-01-26,7.8,19.05
2012-01-27,7.79,19.2
2012-01-30,7.63,18.94
2012-01-31,7.45,18.67
2012-02-01,7.83,19.24
2012-02-02,7.75,19.45
2012-02-03,8.3,20.29
2012-02-06,8.26,20.23
2012-02-07,8.37,20.155
2012-02-08,8.65,20.21
2012-02-09,9.07,20.25
2012-02-10,8.79,19.955
2012-02-13,9.09,20.35
2012-02-14,9.08,20.12
2012-02-15,9.03,19.86
2012-02-16,8.87,20.02
2012-02-17,8.91,20.1
2012-02-21,8.59,19.85
2012-02-22,8.33,19.56
2012-02-23,8.73,19.94
2012-02-24,8.49,19.65
2012-02-27,8.53,19.97
2012-02-28,8.3,19.91
2012-02-29,8.82,20.125
2012-03-01,8.59,20.07
2012-03-02,8.46,19.805
2012-03-05,8.43,19.9
2012-03-06,8.17,19.3
2012-03-07,8.5,19.75
2012-03-08,8.92,20.21
2012-03-09,9.02,20.61
2012-03-12,9.06,20.74
2012-03-13,9.48,21.41
2012-03-14,9.34,21.29
2012-03-15,9.61,21.83
2012-03-16,9.29,21.51
2012-03-19,9.16,21.54
2012-03-20,9.21,21.37
2012-03-21,9.39,21.6
2012-03-22,9.12,21.33
2012-03-23,8.88,21.23
2012-03-26,8.79,21.485
2012-03-27,9.06,21.67
2012-03-28,9.48,21.72
