date,ODP,XRT
2011-07-11,4.04,54.64
2011-07-12,3.89,54.32
2011-07-13,3.96,54.79
2011-07-14,3.75,54.1
2011-07-15,3.76,54.3
2011-07-18,3.56,53.74
2011-07-19,3.6,54.88
2011-07-20,3.59,54.52
2011-07-21,3.74,54.93
2011-07-22,3.6,54.95
2011-07-25,3.52,54.34
2011-07-26,3.89,55.0
2011-07-27,3.82,53.28
2011-07-28,3.81,53.25
2011-07-29,3.78,53.26
2011-08-01,3.82,53.03
2011-08-02,3.51,50.84
2011-08-03,3.56,51.93
2011-08-04,3.18,48.46
2011-08-05,3.24,48.69
2011-08-08,2.78,44.69
2011-08-09,3.08,47.33
2011-08-10,2.6,45.0
2011-08-11,2.66,47.21
2011-08-12,2.63,47.15
2011-08-15,2.79,47.77
2011-08-16,2.69,47.23
2011-08-17,2.66,46.68
2011-08-18,2.36,44.33
2011-08-19,2.23,43.83
2011-08-22,2.18,44.12
2011-08-23,2.23,46.26
2011-08-24,2.32,46.74
2011-08-25,2.25,45.73
2011-08-26,2.33,47.12
2011-08-29,2.54,49.04
2011-08-30,2.5,49.25
2011-08-31,2.6,49.6
2011-09-01,2.39,48.5
2011-09-02,2.29,46.86
2011-09-06,2.28,47.1
2011-09-07,2.61,49.13
2011-09-08,2.48,48.07
2011-09-09,2.36,47.22
2011-09-12,2.31,47.85
2011-09-13,2.5,48.68
2011-09-14,2.47,49.5
2011-09-15,2.48,49.85
2011-09-16,2.42,50.06
2011-09-19,2.34,49.85
2011-09-20,2.27,48.99
2011-09-21,2.17,47.26
2011-09-22,2.05,46.04
2011-09-23,2.05,46.91
2011-09-26,2.13,48.53
2011-09-27,2.22,48.87
2011-09-28,2.1,47.67
2011-09-29,2.17,47.6
2011-09-30,2.06,46.22
2011-10-03,1.8,44.44
2011-10-04,1.92,46.85
2011-10-05,1.98,47.49
2011-10-06,2.13,48.63
2011-10-07,2.09,48.23
2011-10-10,2.21,49.84
2011-10-11,2.23,50.17
2011-10-12,2.23,50.52
2011-10-13,2.17,50.07
2011-10-14,2.16,50.94
2011-10-17,2.04,49.82
2011-10-18,2.14,50.99
2011-10-19,2.09,50.58
2011-10-20,2.15,51.11
2011-10-21,2.27,52.16
2011-10-24,2.54,53.76
2011-10-25,2.29,52.42
2011-10-26,2.32,52.45
2011-10-27,2.58,54.49
2011-10-28,2.54,53.65
2011-10-31,2.29,52.58
2011-11-01,2.16,51.93
2011-11-02,2.3,53.07
2011-11-03,2.34,53.26
2011-11-04,2.32,53.07
2011-11-07,2.28,53.06
2011-11-08,2.32,53.64
2011-11-09,2.33,51.41
2011-11-10,2.36,52.12
2011-11-11,2.52,53.57
2011-11-14,2.51,53.14
2011-11-15,2.52,53.37
2011-11-16,2.42,52.12
2011-11-17,2.32,51.43
2011-11-18,2.31,51.34
2011-11-21,2.19,50.65
2011-11-22,2.12,50.28
2011-11-23,2.03,48.98
2011-11-25,1.96,48.5
2011-11-28,2.1,50.17
2011-11-29,2.04,50.12
2011-11-30,2.25,51.88
2011-12-01,2.22,52.0
2011-12-02,2.36,52.56
2011-12-05,2.44,53.35
2011-12-06,2.41,53.17
2011-12-07,2.44,53.32
2011-12-08,2.31,52.29
2011-12-09,2.39,53.51
2011-12-12,2.32,53.23
2011-12-13,2.23,51.64
2011-12-14,2.2,51.0
2011-12-15,2.19,51.33
2011-12-16,2.13,51.49
2011-12-19,2.07,50.84
2011-12-20,2.21,52.535
2011-12-21,2.21,52.76
2011-12-22,2.27,52.59
2011-12-23,2.32,53.05
2011-12-27,2.27,53.14
2011-12-28,2.14,52.51
2011-12-29,2.15,52.82
2011-12-30,2.15,52.55
2012-01-03,2.21,52.53
2012-01-04,2.18,52.38
2012-01-05,2.15,52.67
2012-01-06,2.12,52.07
2012-01-09,2.13,52.665
2012-01-10,2.18,52.81
2012-01-11,2.35,52.78
2012-01-12,2.36,52.84
2012-01-13,2.28,52.74
2012-01-17,2.29,52.99
2012-01-18,2.48,54.36
2012-01-19,2.56,55.09
2012-01-20,2.6,54.77
2012-01-23,2.66,54.88
2012-01-24,2.77,55.36
2012-01-25,2.86,55.85
2012-01-26,2.85,55.45
2012-01-27,2.94,55.8133
2012-01-30,2.78,55.7
2012-01-31,2.73,55.15
2012-02-01,2.85,55.7
2012-02-02,2.89,55.78
2012-02-03,3.06,56.9
