date,URBN,XRT,beta,value,price
2010-12-17,36.36,47.96,0.7581161611505333,0.0007489112204268622,30.000748911220427
2010-12-20,36.79,47.9,0.7572380633006355,0.5182967678995638,30.518296767899564
2010-12-21,36.79,48.06,0.7564133759209665,0.43677315323834875,30.43677315323835
2010-12-22,36.06,48.03,0.7556073628141257,-0.2318216359624543,29.768178364037546
2010-12-23,35.87,48.45,0.7544891742625546,-0.6850004930207731,29.314999506979227
2010-12-27,35.72,48.23,0.7541321486102384,-0.6517935274717956,29.348206472528204
2010-12-28,36.07,48.1,0.7539110973429035,-0.1931237821936591,29.80687621780634
2010-12-29,36.2,48.47,0.7538943167286328,-0.34125753183683116,29.65874246816317
2010-12-30,36.39,48.73,0.7537117290418024,-0.3383725562070268,29.661627443792973
2010-12-31,35.81,48.36,0.7534698499514608,-0.6278019436526421,29.372198056347358
2011-01-03,35.45,48.71,0.753095901590555,-1.2333013664759278,28.766698633524072
2011-01-04,35.89,47.8,0.7527792684857574,-0.09284903361920271,29.907150966380797
2011-01-05,35.75,47.76,0.7530684317256848,-0.216548299218708,29.783451700781292
2011-01-06,36.07,47.08,0.753602690682474,0.5903853226691282,30.59038532266913
2011-01-07,36.01,46.935,0.7544365037155316,0.6005226981115186,30.60052269811152
2011-01-10,36.09,47.36,0.7550615273800211,0.3302860632822089,30.33028606328221
2011-01-11,35.89,46.76,0.7557303554907767,0.5520485772512842,30.552048577251284
2011-01-12,36.21,47.2,0.7567094779383688,0.49331264130898944,30.49331264130899
2011-01-13,36.31,47.03,0.7576448989275644,0.67796040343665,30.67796040343665
2011-01-14,35.94,47.02,0.7589413323454642,0.25457855311626787,30.254578553116268
2011-01-18,35.63,46.97,0.7601702567079514,-0.07519695757247291,29.924803042427527
2011-01-19,35.04,46.52,0.7612379660614873,-0.37279018118039176,29.62720981881961
2011-01-20,35.0,46.9575,0.7620069170676301,-0.7819398082032407,29.21806019179676
2011-01-21,35.03,46.65,0.7624227465699077,-0.5370211274861916,29.46297887251381
2011-01-24,34.23,46.83,0.7628287656403682,-1.493271094938443,28.506728905061557
