date,VZ,XLK,beta,value,price
2021-06-15,57.29,142.53,0.4176993137663258,-2.2446831911144187,27.75531680888558
2021-06-16,56.64,141.75999,0.4171812287252985,-2.499606812286025,27.500393187713975
2021-06-17,56.53,143.39999,0.41669111271354253,-3.223501396210871,26.77649860378913
2021-06-18,55.82,142.09,0.41602703950190284,-3.293282042825375,26.706717957174625
2021-06-21,56.39,143.35001,0.4152679846376066,-3.1386697504807515,26.86133024951925
2021-06-22,56.37,144.64999,0.4144711619939115,-3.5832494377076785,26.41675056229232
2021-06-23,56.07,144.49001,0.4136599888258694,-3.6997359220497614,26.30026407795024
2021-06-24,56.37,145.39999,0.41272094163271134,-3.6396207861868177,26.360379213813182
2021-06-25,56.38,145.23,0.41174954806729325,-3.418386865812991,26.58161313418701
2021-06-28,56.18,146.75,0.41093325209223897,-4.124454744536067,25.875545255463933
2021-06-29,55.84,147.82001,0.41011539881021236,-4.783262353279575,25.216737646720425
2021-06-30,56.03,147.66,0.4092616585824771,-4.4015765062885635,25.598423493711437
2021-07-01,56.29,147.91,0.40838952361473535,-4.114894437855504,25.885105562144496
2021-07-02,56.44,149.86,0.40758627759629823,-4.640879560581261,25.35912043941874
2021-07-06,56.41,150.42999,0.40695656773834327,-4.808472415313304,25.191527584686696
2021-07-07,56.53,151.25,0.4063724417401174,-4.933831813192754,25.066168186807246
2021-07-08,55.68,149.82001,0.4057219971178425,-5.105273665415133,24.894726334584867
2021-07-09,56.07,151.2,0.40510077765809194,-5.1812375819034955,24.818762418096505
2021-07-12,56.15,151.32001,0.4043735804805714,-5.039814242055876,24.960185757944124
2021-07-13,56.09,151.94,0.4037686014210963,-5.2586012999213665,24.741398700078634
2021-07-14,56.32,153.06,0.4030536980107281,-5.3713990175220445,24.628600982477955
2021-07-15,56.55,151.8,0.4022402948841761,-4.510076763417942,25.489923236582058
2021-07-16,56.46,150.3,0.4014714671885185,-3.8811615184343324,26.118838481565668
2021-07-19,55.84,148.23,0.4008694193634298,-3.5808740322411907,26.41912596775881
2021-07-20,55.58,150.42999,0.4003253608864217,-4.640940034890811,25.35905996510919
2021-07-21,55.95,151.88,0.399730405252189,-4.7610539497024575,25.238946050297542
2021-07-22,55.95,153.0,0.399182836434701,-5.1249739745092455,24.875026025490754
2021-07-23,55.88,154.52,0.3986335807310594,-5.716860894563304,24.283139105436696
2021-07-26,55.78,154.44,0.397920870140068,-5.6748991844321,24.3251008155679
2021-07-27,56.2,152.98,0.3970962028436194,-4.547777111016892,25.45222288898311
2021-07-28,55.72,152.78999,0.3962688846772151,-4.825918927142844,25.174081072857156
2021-07-29,55.98,153.5,0.3953661444516675,-4.708703173330967,25.291296826669033
2021-07-30,55.78,153.39999,0.39428630635085266,-4.703515451357731,25.29648454864227
2021-08-02,55.76,152.85001,0.3931726282800645,-4.336440164334142,25.663559835665858
2021-08-03,55.73,153.83,0.3920809168646695,-4.583807441292116,25.416192558707884
2021-08-04,55.37,154.14,0.39105224183428816,-4.906792556337173,25.093207443662827
2021-08-05,55.3,154.99001,0.3897499398016639,-5.107347067359292,24.892652932640708
2021-08-06,55.22,154.86,0.38849655395440996,-4.942576345379933,25.057423654620067
2021-08-09,55.12,154.36,0.38713151977026666,-4.637621391738371,25.36237860826163
2021-08-10,55.48,153.25,0.38581153554991277,-3.645617823024132,26.354382176975868
2021-08-11,55.57,153.27,0.38471637007135756,-3.395478040836977,26.604521959163023
2021-08-12,55.64,154.14999,0.38368287633725506,-3.504711550559108,26.495288449440892
2021-08-13,55.87,154.99001,0.38266505951305485,-3.439261400578971,26.56073859942103
2021-08-16,55.98,155.69,0.38168671855883674,-3.444805212425294,26.555194787574706
2021-08-17,56.18,154.39999,0.3808018665288839,-2.615804384041013,27.384195615958987
2021-08-18,55.47,152.27,0.3799694655123976,-2.3879505135727825,27.612049486427217
2021-08-19,55.37,153.75999,0.37923849270211984,-2.941706845493016,27.058293154506984
2021-08-20,55.52,155.74001,0.3784860991863721,-3.4254288721465826,26.574571127853417
2021-08-23,55.42,157.75,0.37767657023496476,-4.1584789545656875,25.841521045434312
2021-08-24,55.01,157.57001,0.37674769895333415,-4.35413869155385,25.64586130844615
2021-08-25,54.93,157.48,0.3757838532393626,-4.248441208134814,25.751558791865186
