date,VTR,IYR,beta,value,price
2014-02-27,62.44,67.9,0.9208903247326479,-0.08845304934679632,29.911546950653204
2014-02-28,62.43,68.35,0.9211882330327689,-0.5332157277897451,29.466784272210255
2014-03-03,62.79,68.4,0.9214336077304222,-0.23605876876088416,29.763941231239116
2014-03-04,63.67,69.24,0.9218182828371543,-0.15669790364455594,29.843302096355444
2014-03-05,63.03,69.15,0.9222020400349673,-0.7402710684179965,29.259728931582003
2014-03-06,61.97,68.82,0.9223314785930847,-1.5048523567760839,28.495147643223916
2014-03-07,60.5,68.04,0.9224541530410945,-2.263780572916076,27.736219427083924
2014-03-10,60.51,67.79,0.9222509447789554,-2.0093915465653964,27.990608453434604
2014-03-11,61.16,68.16,0.9219348158304922,-1.679077047006345,28.320922952993655
2014-03-12,61.21,68.31,0.921786991370158,-1.7572693804954937,28.242730619504506
2014-03-13,60.48,68.09,0.9217783586057205,-2.283888437463517,27.716111562536483
2014-03-14,60.76,68.11,0.9215156896052451,-2.0044336190132483,27.99556638098675
2014-03-17,60.62,68.22,0.9212548402311753,-2.2280052005707844,27.771994799429216
2014-03-18,60.89,68.52,0.920945591544038,-2.213191932597482,27.786808067402518
2014-03-19,58.92,67.31,0.9205975706649986,-3.0454224814610527,26.954577518538947
2014-03-20,59.12,67.4,0.920132073894386,-2.8969017804816275,27.103098219518373
2014-03-21,59.63,67.95,0.9196395831086303,-2.8595096722314253,27.140490327768575
2014-03-24,59.4,67.55,0.9190822965741969,-2.684009133587004,27.315990866412996
2014-03-25,60.06,67.27,0.9185944167152309,-1.7338464124335786,28.26615358756642
2014-03-26,59.38,66.52,0.9183306458729976,-1.707354563471796,28.292645436528204
2014-03-27,59.94,66.84,0.9180976147424034,-1.42564456938225,28.57435543061775
2014-03-28,60.36,67.28,0.9178339762538871,-1.391869922361522,28.608130077638478
2014-03-31,60.57,67.67,0.9176268720127809,-1.5258104291048866,28.474189570895113
2014-04-01,61.39,68.1,0.9174681987611978,-1.0895843356375607,28.91041566436244
2014-04-02,61.29,68.11,0.9175064564797681,-1.2013647508370084,28.79863524916299
2014-04-03,61.4,67.87,0.9172378017055699,-0.8529296017570331,29.147070398242967
2014-04-04,61.99,68.14,0.9170990312118132,-0.5011279867729499,29.49887201322705
2014-04-07,63.0,68.21,0.9171040201012749,0.4443347888920428,30.444334788892043
2014-04-08,64.01,68.59,0.9173074809524763,1.0918798814696515,31.09187988146965
2014-04-09,63.6,68.54,0.9172093448905467,0.7344715012019236,30.734471501201924
2014-04-10,63.13,67.93,0.917119849058842,0.8300486534328542,30.830048653432854
2014-04-11,63.15,67.52,0.9171280313259464,1.2255153248720987,31.2255153248721
2014-04-14,64.18,67.77,0.9172151497958957,2.0203292983321575,32.02032929833216
2014-04-15,66.0,68.49,0.9173179790462499,3.172891615122346,33.172891615122346
2014-04-16,65.43,68.9,0.9177318721943075,2.198274005812216,32.198274005812216
2014-04-17,65.13,68.71,0.9178033049132468,2.0677349194108103,32.06773491941081
2014-04-21,65.0,69.0,0.9179158840337401,1.6638040016719273,31.663804001671927
2014-04-22,64.5,69.23,0.9179641577522047,0.9493413588148627,30.949341358814863
2014-04-23,64.59,69.02,0.917649704236668,1.2538174135851818,31.253817413585182
2014-04-24,64.31,69.25,0.9173341411078707,0.7846107282799579,30.784610728279958
2014-04-25,64.35,69.01,0.9169227367581385,1.0731619363208509,31.07316193632085
2014-04-28,65.73,69.37,0.9165678062513065,2.1476912803468693,32.14769128034687
2014-04-29,65.92,69.41,0.9165874322973709,2.299666324239489,32.29966632423949
2014-04-30,66.08,69.72,0.9165551703752538,2.1777735214373024,32.1777735214373
2014-05-01,66.64,70.26,0.9164960815537462,2.246985310033793,32.24698531003379
2014-05-02,66.54,70.23,0.9164924944104407,2.174732117554754,32.174732117554754
2014-05-05,66.98,70.48,0.9165713938836616,2.3800481590795357,32.380048159079536
2014-05-06,67.03,70.22,0.9167439576859777,2.656239291290646,32.656239291290646
2014-05-07,67.88,71.04,0.9170452813397301,2.7331032136255686,32.73310321362557
2014-05-08,68.4,71.08,0.91726541797372,3.2007740904279984,33.200774090428
2014-05-09,67.76,71.07,0.9177320726708287,2.5367815952842108,32.53678159528421
2014-05-12,66.93,71.22,0.9182474554586862,1.5324162222323707,31.53241622223237
2014-05-13,66.62,70.8,0.9183786317301688,1.5987928735040526,31.598792873504053
2014-05-14,67.09,70.98,0.9188415960207114,1.8706235144499033,31.870623514449903
2014-05-15,67.43,70.86,0.9194928539004826,2.2747363726118124,32.27473637261181
2014-05-16,68.22,71.38,0.9201324369810763,2.5409466482907845,32.540946648290785
2014-05-19,67.44,71.12,0.9210068275917948,1.9379944216715472,31.937994421671547
2014-05-20,67.27,70.9,0.9218912129165465,1.9079130042168373,31.907913004216837
2014-05-21,66.32,70.62,0.922544750260299,1.1698897366176766,31.169889736617677
2014-05-22,66.13,70.56,0.9230821221853863,0.9973254585991356,30.997325458599136
2014-05-23,67.03,71.09,0.9235198365516616,1.3769748195423688,31.37697481954237
2014-05-27,67.24,71.52,0.9239258721136951,1.1608216264285147,31.160821626428515
2014-05-28,66.23,71.23,0.9243880213967672,0.38584123590827346,30.385841235908273
2014-05-29,66.44,71.32,0.9245885020873577,0.49834803112965176,30.49834803112965
2014-05-30,66.8,71.67,0.9247965192878274,0.5198334626414152,30.519833462641415
2014-06-02,64.93,71.8,0.925147651914182,-1.495601407438258,28.504398592561742
2014-06-03,64.84,71.71,0.9251807409513119,-1.5047109336185684,28.49528906638143
2014-06-04,64.09,71.78,0.9253846174369521,-2.334107839624423,27.665892160375577
2014-06-05,65.67,72.9,0.9253259948104366,-1.7862650216808333,28.213734978319167
2014-06-06,65.38,72.75,0.9253259321307442,-1.9374615625116434,28.062538437488357
2014-06-09,64.34,71.97,0.9253107680009387,-2.254615973027555,27.745384026972445
2014-06-10,63.84,71.6,0.9253438861363471,-2.414622247362445,27.585377752637555
2014-06-11,63.67,71.31,0.9252799553320064,-2.3117136147253774,27.688286385274623
2014-06-12,63.68,71.1,0.9253001257071141,-2.1088389377758077,27.891161062224192
2014-06-13,63.64,71.28,0.9253760406496382,-2.3208041775062043,27.679195822493796
2014-06-16,63.26,70.92,0.9255853940795494,-2.3825161481216455,27.617483851878355
2014-06-17,62.71,71.0,0.925759728949609,-3.0189407554222427,26.981059244577757
2014-06-18,62.95,71.44,0.9257877453386057,-3.188276526989995,26.811723473010005
2014-06-19,64.14,71.99,0.9257337385757433,-2.5035718400677496,27.49642815993225
2014-06-20,64.64,72.24,0.9256274884804968,-2.2273297678310797,27.77267023216892
2014-06-23,64.34,72.07,0.9255765494678772,-2.366301920149894,27.633698079850106
2014-06-24,64.39,71.5,0.9254352123408861,-1.7786176823733513,28.22138231762665
2014-06-25,63.74,71.5,0.9254381847433935,-2.428830209152629,27.57116979084737
2014-06-26,63.82,71.42,0.9253216004160036,-2.266468701710984,27.733531298289016
2014-06-27,64.14,71.85,0.9251493836019999,-2.3319832118036885,27.66801678819631
2014-06-30,64.1,71.79,0.9249807457278658,-2.3043677358034955,27.695632264196504
2014-07-01,64.33,71.97,0.9247400837148774,-2.2235438249597195,27.77645617504028
2014-07-02,64.07,71.89,0.9244379267232816,-2.3878425521367177,27.612157447863282
2014-07-03,63.91,71.55,0.9238778912038779,-2.1934631156374564,27.806536884362544
2014-07-07,64.55,71.62,0.9232084258254677,-1.5701874576200083,28.42981254237999
2014-07-08,64.23,71.84,0.9227605387455571,-2.061117103480825,27.938882896519175
2014-07-09,64.34,72.0,0.9221679611084374,-2.056093199807492,27.943906800192508
2014-07-10,64.6,72.23,0.9214792328742992,-1.9584449905106425,28.041555009489358
2014-07-11,64.2,72.28,0.9206233042272918,-2.34265242954865,27.65734757045135
2014-07-14,64.24,72.61,0.9193979809630504,-2.517487397727095,27.482512602272905
2014-07-15,64.0,72.59,0.9183223892247702,-2.661022233826074,27.338977766173926
2014-07-16,64.41,72.86,0.9172275485880905,-2.419199190128282,27.580800809871718
2014-07-17,64.17,72.43,0.9162609285446722,-2.19477905449061,27.80522094550939
2014-07-18,64.73,73.07,0.9154973733395021,-2.165393069917414,27.834606930082586
2014-07-21,64.42,72.86,0.9146627182093418,-2.2223256487326353,27.777674351267365
2014-07-22,64.31,73.17,0.9139142624782838,-2.5611065855360238,27.438893414463976
2014-07-23,64.29,73.33,0.9130148938170286,-2.6613821636026955,27.338617836397304
2014-07-24,64.68,73.14,0.9118389966559836,-2.0119042154186246,27.988095784581375
2014-07-25,64.21,72.73,0.9107677985432051,-2.030141988047319,27.96985801195268
2014-07-28,64.84,73.17,0.9097046749019383,-1.7230910625748237,28.276908937425176
2014-07-29,64.49,72.83,0.9086758522772803,-1.6888623213543354,28.311137678645665
2014-07-30,63.86,72.76,0.9076586011116096,-2.181239816880719,27.81876018311928
2014-07-31,63.5,71.71,0.9064599317535599,-1.5022417060477693,28.49775829395223
2014-08-01,63.66,71.57,0.9053453486535925,-1.1355666031376188,28.86443339686238
2014-08-04,64.03,72.0,0.904264884318866,-1.0770716709583468,28.922928329041653
2014-08-05,63.06,71.36,0.9030677800638606,-1.3829167853570823,28.617083214642918
2014-08-06,62.79,71.49,0.9019279833824836,-1.6888315320137437,28.311168467986256
2014-08-07,62.84,71.6,0.9009187184183896,-1.6657802387566818,28.334219761243318
2014-08-08,63.44,72.14,0.8998861572197953,-1.4777873818360376,28.522212618163962
2014-08-11,63.66,72.54,0.8988060926761761,-1.539393962729818,28.460606037270182
2014-08-12,63.23,72.33,0.8975920247487927,-1.692831150080174,28.307168849919826
2014-08-13,64.8,73.23,0.8962434090730134,-0.8319048464167764,29.168095153583224
2014-08-14,65.05,73.21,0.8952007270544577,-0.4876452276568557,29.512354772343144
2014-08-15,64.93,73.28,0.8942198077347531,-0.5984275108026935,29.401572489197306
2014-08-18,65.49,73.96,0.8933601983114258,-0.5829202671130531,29.417079732886947
2014-08-19,65.6,74.02,0.8925220457893893,-0.46448182933059456,29.535518170669405
2014-08-20,65.9,74.38,0.8915971096521924,-0.41699301593006055,29.58300698406994
2014-08-21,65.88,74.31,0.8907038534220476,-0.30820334779235736,29.691796652207643
2014-08-22,65.6,73.81,0.8899973985658942,-0.09070798814866521,29.909292011851335
2014-08-25,65.44,73.78,0.8893016538088255,-0.17267601801515298,29.827323981984847
2014-08-26,65.25,73.78,0.8885615678820541,-0.30807247833794804,29.691927521662052
2014-08-27,65.54,73.9,0.8882307065548639,-0.10024921440444245,29.899750785595558
2014-08-28,65.83,73.83,0.8879460951491095,0.2729397951412409,30.27293979514124
2014-08-29,65.78,74.2,0.8879295658451736,-0.1043737857118856,29.895626214288114
2014-09-02,65.41,74.24,0.88768745617112,-0.4919167461439429,29.508083253856057
2014-09-03,66.04,74.26,0.887386801600729,0.14265611312985982,30.14265611312986
2014-09-04,65.93,74.12,0.8873120907076963,0.16242783674555028,30.16242783674555
2014-09-05,66.0,74.82,0.8872802915767755,-0.3863114157743297,29.61368858422567
2014-09-08,65.27,74.69,0.8870992512744309,-0.9874430776872458,29.012556922312754
2014-09-09,64.75,74.29,0.8867303523194,-1.1251978738082329,28.874802126191767
2014-09-10,63.89,73.26,0.8863695574152918,-1.0454337762442805,28.95456622375572
2014-09-11,64.1,73.35,0.8860395300808576,-0.8909995314309072,29.109000468569093
2014-09-12,61.19,71.24,0.8858784385565446,-1.919979962768231,28.08002003723177
2014-09-15,61.39,70.95,0.8855241123859173,-1.4379357737808363,28.562064226219164
2014-09-16,61.82,71.48,0.8851146182078613,-1.447992909497927,28.552007090502073
2014-09-17,61.86,71.43,0.8846299553159911,-1.329117708221247,28.670882291778753
2014-09-18,61.03,70.91,0.8841984789758875,-1.668514144180179,28.33148585581982
2014-09-19,61.12,70.95,0.8835626283309048,-1.5687684800777006,28.4312315199223
2014-09-22,61.04,70.32,0.8830848217377808,-1.0585246646007391,28.94147533539926
2014-09-23,60.7,69.92,0.8826815006720129,-1.0170905269871398,28.98290947301286
2014-09-24,61.14,69.22,0.8822942524987871,0.06759184203395563,30.067591842033956
2014-09-25,61.43,68.88,0.882136748483212,0.6684207644763589,30.66842076447636
2014-09-26,62.33,69.64,0.8820905835300794,0.9012117629652678,30.901211762965268
2014-09-29,62.1,69.62,0.8821398381949536,0.6854244648673316,30.68542446486733
2014-09-30,61.95,69.2,0.8821112926562874,0.9078985481849102,30.90789854818491
2014-10-01,62.48,69.24,0.8819986619081583,1.4104126494791203,31.41041264947912
2014-10-02,62.57,69.13,0.8821108998021228,1.5896734966792607,31.58967349667926
2014-10-03,62.74,69.6,0.8822707093699156,1.3339586278538818,31.33395862785388
2014-10-06,62.78,69.69,0.8823653664119214,1.2879576147531964,31.287957614753196
2014-10-07,62.77,69.28,0.8825540142038795,1.6266578959552334,31.626657895955233
2014-10-08,63.69,70.6,0.8828770606995218,1.3588795146137684,31.35887951461377
2014-10-09,64.54,70.51,0.8832038751659619,2.265294762048029,32.26529476204803
2014-10-10,65.6,70.41,0.8837006331587319,3.3786384192936794,33.37863841929368
2014-10-13,65.8,70.29,0.8844240119236352,3.633836201887675,33.633836201887675
