date,HON,XLI,beta,value,price
2021-09-13,223.60001,102.23,2.196700553103266,-0.9686875437469098,29.03131245625309
2021-09-14,220.19,101.0,2.1973994395275076,-1.7473433922782817,28.25265660772172
2021-09-15,221.69,102.11,2.198118822315469,-2.7599129466325394,27.24008705336746
2021-09-16,219.64999,101.41,2.1988002085596827,-3.3303391500374175,26.669660849962582
2021-09-17,218.49001,100.33,2.1995259001918535,-2.1884235662486446,27.811576433751355
2021-09-20,215.73,98.86,2.2004972555152382,-1.811158680236474,28.188841319763526
2021-09-21,214.89999,98.34,2.2013522900067475,-1.5809941992635572,28.419005800736443
2021-09-22,217.02,99.12,2.2021637002877728,-1.2584659725240215,28.74153402747598
2021-09-23,219.7,100.64,2.203153534788526,-2.0253717411172545,27.974628258882746
2021-09-24,219.19,100.85,2.2040968983186437,-3.0931721954352156,26.906827804564784
2021-09-27,217.89999,100.95,2.204628841208314,-4.65729151997931,25.34270848002069
2021-09-28,214.97,99.78,2.204983394921636,-5.043243145280854,24.956756854719146
2021-09-29,214.92,99.89,2.2052374040436185,-5.36116428991707,24.63883571008293
2021-09-30,212.28,97.84,2.2055278937040237,-3.5088491200016847,26.491150879998315
2021-10-01,215.64999,99.18,2.206150047041465,-3.1559716655725083,26.84402833442749
2021-10-04,214.21001,98.64,2.2065317861755154,-3.442285388352815,26.557714611647185
2021-10-05,215.72,99.74,2.2066518936865243,-4.371459876293926,25.628540123706074
2021-10-06,216.86,100.18,2.206561204571747,-4.193301473997593,25.806698526002407
2021-10-07,218.37,100.96,2.206282150415763,-4.376245905975395,25.623754094024605
2021-10-08,217.7,100.95,2.205359048163826,-4.930995912138229,25.06900408786177
2021-10-11,215.28999,100.14,2.2035795369144076,-5.376464826608782,24.623535173391218
2021-10-12,214.33,99.81,2.201790479218409,-5.430707730789379,24.56929226921062
2021-10-13,215.58,100.02,2.200775976403305,-4.541613159858542,25.458386840141458
