date,F,XLY,beta,value,price
2022-03-18,16.86,181.88,0.10567353831422505,-2.3599031485912505,27.64009685140875
2022-03-21,16.48,180.08,0.10557923058173951,-2.5327078431596526,27.467292156840347
2022-03-22,17.09,184.55,0.10545714035984596,-2.372115253409575,27.627884746590425
2022-03-23,16.68,182.25999,0.10536059738905951,-2.5230214265240107,27.47697857347599
2022-03-24,16.83,183.67999,0.10521780205856056,-2.4964048299383848,27.503595170061615
2022-03-25,16.47,183.36,0.10507712692833497,-2.7969419935795017,27.2030580064205
2022-03-28,16.67,188.25,0.10493096829497857,-3.083254781529714,26.916745218470286
2022-03-29,17.75,191.53,0.10474875451106637,-2.312528951504543,27.687471048495457
2022-03-30,17.27,188.62,0.1045945927173914,-2.4586320783543663,27.541367921645634
2022-03-31,16.91,185.0,0.10438758047649253,-2.4017023881511186,27.59829761184888
2022-04-01,16.65,185.23,0.10390514999208768,-2.596350933034401,27.4036490669656
2022-04-04,16.66,189.39,0.10340592495182196,-2.9240481266255607,27.07595187337444
2022-04-05,15.82,184.95,0.10277177200420151,-3.1876392321770695,26.81236076782293
2022-04-06,15.39,180.23,0.1020778259043351,-3.0074865627383147,26.992513437261685
2022-04-07,14.96,181.14999,0.10144080091221871,-3.4160000708404112,26.58399992915959
2022-04-08,15.05,179.48,0.10071491037384749,-3.0263121138981433,26.973687886101857
2022-04-11,15.28,176.14999,0.10000818448309515,-2.3364406966153677,27.66355930338463
2022-04-12,15.36,176.53999,0.09926364970532256,-2.1640037263411465,27.835996273658854
2022-04-13,15.51,180.92999,0.09849266966335478,-2.3102777372640855,27.689722262735913
2022-04-14,15.48,178.39999,0.09774131752010755,-1.9570500681740128,28.042949931825987
2022-04-18,15.67,178.94,0.09717501229931566,-1.7184967008395429,28.281503299160455
2022-04-19,16.15,184.13,0.09667092269939577,-1.6500169966397458,28.349983003360254
2022-04-20,16.05,181.75999,0.09621459339056534,-1.43796353252322,28.56203646747678
2022-04-21,15.7,180.0,0.09581302654876184,-1.546344778777133,28.453655221222867
