date,IVZ,KCE,beta,value,price
2013-10-03,32.04,42.35,0.7452424599976879,0.47898181909791404,30.478981819097914
2013-10-04,32.38,42.78,0.7452435894647271,0.4984792426989735,30.498479242698973
2013-10-07,31.92,42.17,0.7451136053838096,0.49855926096475045,30.49855926096475
2013-10-08,31.5,41.33,0.745170079160205,0.7021206283087302,30.70212062830873
2013-10-09,32.16,41.63,0.7452671167191748,1.1345299309807473,31.134529930980747
2013-10-10,33.92,42.79,0.745460424580309,2.021748432208579,32.02174843220858
2013-10-11,34.35,43.2,0.7460807573543071,2.1193112822939284,32.11931128229393
2013-10-14,34.65,43.4,0.7466680261153551,2.2446076665935877,32.24460766659359
2013-10-15,32.42,43.18,0.7473379309197176,0.14994814288660052,30.1499481428866
2013-10-16,32.07,43.7703,0.747099781726852,-0.630781576118828,29.369218423881172
2013-10-17,32.46,44.39,0.7466114150450851,-0.6820807138513274,29.317919286148673
2013-10-18,32.77,44.89,0.7460759630390568,-0.7213499808232555,29.278650019176744
2013-10-21,32.53,44.82,0.7455987630584371,-0.8877365602791514,29.11226343972085
2013-10-22,32.5,44.85,0.7450334419920848,-0.9147498733450021,29.085250126654998
2013-10-23,32.46,44.76,0.744557651791926,-0.8664004942066086,29.13359950579339
2013-10-24,32.65,45.24,0.7441509778720599,-1.0153902389319924,28.984609761068008
2013-10-25,32.87,45.59,0.7437393359138242,-1.0370763243112506,28.96292367568875
2013-10-28,32.75,45.58,0.7432258632763249,-1.1262348481348852,28.873765151865115
2013-10-29,33.36,45.94,0.7426498369798977,-0.7573335108564976,29.242666489143502
2013-10-30,32.91,45.68,0.7421844086189023,-0.9929837857114592,29.00701621428854
2013-10-31,33.75,45.41,0.7415232602268497,0.07742875309875785,30.077428753098758
2013-11-01,33.84,45.3601,0.7413180368023123,0.2137397188434349,30.213739718843435
2013-11-04,33.36,45.57,0.7412253703938565,-0.417640128848042,29.582359871151958
2013-11-05,32.91,45.52,0.74089330857874,-0.8154634065042501,29.18453659349575
2013-11-06,33.06,45.9,0.7404014255995461,-0.9244254350191667,29.075574564980833
2013-11-07,32.37,44.96,0.7396416319129945,-0.8842877708082355,29.115712229191764
2013-11-08,33.32,46.14,0.7389379225002771,-0.774595744162788,29.225404255837212
