date,PNC,KBE,beta,value,price
2021-03-08,178.82001,53.4,3.4325848700483763,-4.480022060583281,25.51997793941672
2021-03-09,173.63,52.58,3.4303934926901074,-6.740089845645855,23.259910154354145
2021-03-10,177.78,53.8,3.4269002828718538,-6.587235218505725,23.412764781494275
2021-03-11,176.92999,54.1,3.4233489396888164,-8.273187637164966,21.726812362835034
2021-03-12,181.41,55.06,3.4186553671411035,-6.82116451478916,23.17883548521084
2021-03-15,178.53,54.65,3.414901498098487,-8.094366871082315,21.905633128917685
2021-03-16,176.58,53.92,3.4111179154305624,-7.3474780000159114,22.65252199998409
2021-03-17,178.42999,54.29,3.407092845111931,-6.5410805611267335,23.458919438873266
2021-03-18,179.86,54.44,3.403317187519324,-5.416587688551971,24.58341231144803
2021-03-19,175.78999,53.91,3.399358160792129,-7.469408448303653,22.530591551696347
2021-03-22,171.22,52.01,3.3946990863210558,-5.338299479558117,24.661700520441883
2021-03-23,169.39999,50.41,3.3908691388789034,-1.5337232908855185,28.46627670911448
2021-03-24,170.25,50.17,3.388711846903032,0.23832664087487387,30.238326640874874
2021-03-25,177.0,51.59,3.387112575695101,2.2588622198897212,32.25886221988972
2021-03-26,179.67999,52.57,3.3863575153694305,1.6591754170290471,31.659175417029047
2021-03-29,174.49001,51.21,3.385261415057908,1.1307729348845328,31.130772934884533
2021-03-30,177.62,52.33,3.3838455619392342,0.5433617437198848,30.543361743719885
2021-03-31,175.41,51.88,3.3818545093693952,-0.04061194608422625,29.959388053915774
2021-04-01,177.41,52.27,3.379220222505204,0.7781589696529636,30.778158969652964
2021-04-05,178.75999,52.38,3.377562157746355,1.8432841772459199,31.84328417724592
2021-04-06,177.39999,52.19,3.376637275499961,1.173290591657036,31.173290591657036
2021-04-07,178.25,52.01,3.3756222851697744,2.683884948320042,32.68388494832004
2021-04-08,178.11,52.09,3.374866153757798,2.313222050756309,32.31322205075631
2021-04-09,180.21001,52.63,3.3741692845280595,2.62748055528823,32.62748055528823
2021-04-12,180.81,52.95,3.3735352800219163,2.181306922839525,32.181306922839525
2021-04-13,177.62,52.04,3.3732536018847803,2.0758825579160316,32.07588255791603
2021-04-14,179.34,52.59,3.3731089459550154,1.9482005322257407,31.94820053222574
2021-04-15,174.78999,52.42,3.373950893473484,-2.07251583588004,27.92748416411996
2021-04-16,178.86,52.83,3.3733057241591977,0.6482585926696061,30.648258592669606
2021-04-19,177.72,52.63,3.3731606079753833,0.19055720225557593,30.190557202255576
2021-04-20,171.73,50.76,3.3727933858926984,0.5270077320866164,30.527007732086616
2021-04-21,175.13,51.87,3.3731742206915154,0.16345317273109572,30.163453172731096
2021-04-22,173.84,51.21,3.3737987902369277,1.0677639519669242,31.067763951966924
2021-04-23,178.03999,53.03,3.3748037884909268,-0.9258549036738657,29.074145096326134
2021-04-26,180.24001,53.33,3.374778411642236,0.26307730711957333,30.263077307119573
2021-04-27,183.58,53.8,3.374932688687425,2.0086213486165434,32.00862134861654
2021-04-28,185.25999,53.77,3.3758103227821814,3.7426689440020766,33.74266894400208
2021-04-29,189.17,54.41,3.3773488652365926,5.408448242476993,35.40844824247699
2021-04-30,186.95,53.63,3.3790966904634865,5.7290444904431865,35.72904449044319
2021-05-03,188.12,53.95,3.380773490679785,5.727270177825602,35.7272701778256
2021-05-04,193.32001,54.62,3.3824719019585845,8.569394715022128,38.56939471502213
2021-05-05,194.61,54.81,3.385028457184079,9.07659026174062,39.07659026174062
2021-05-06,198.17999,54.85,3.3881082057293463,12.342254915745343,42.34225491574534
2021-05-07,198.91,54.93,3.392950428081808,12.53523298546628,42.53523298546628
2021-05-10,198.56,54.39,3.397366314490919,13.777246154838906,43.777246154838906
2021-05-11,194.03999,53.89,3.402118215938782,10.699839343059011,40.69983934305901
2021-05-12,190.41,52.53,3.4053908364598624,11.524819360763416,41.524819360763416
2021-05-13,196.00999,54.24,3.4077265743406464,11.174900607763334,41.174900607763334
2021-05-14,199.38,55.15,3.4107329782937166,11.278076247101524,41.278076247101524
2021-05-17,199.03,55.43,3.4135437331630034,9.817270870774735,39.817270870774735
2021-05-18,193.91,54.51,3.416259547600254,7.689692060310136,37.689692060310136
2021-05-19,192.89,54.23,3.4191112226108267,7.471598397814859,37.47159839781486
2021-05-20,191.05,54.13,3.4216110581321155,5.8381934233085815,35.83819342330858
2021-05-21,193.48,54.74,3.4235488892171735,6.074933804251913,36.07493380425191
2021-05-24,193.99001,54.52,3.4257061861458533,7.220508731328067,37.22050873132807
