date,AEP,XLU,beta,value,price
2010-08-23,35.11,30.67,1.1494291671467294,-0.14299255639019037,29.85700744360981
2010-08-24,35.41,30.7225,1.1499027519638734,0.08211270278989957,30.0821127027899
2010-08-25,35.33,30.7,1.1505469021672363,0.008210103465842167,30.008210103465842
2010-08-26,35.2,30.56,1.1511370526642406,0.0212516705808099,30.02125167058081
2010-08-27,35.71,31.14,1.151770030560962,-0.15611875166835176,29.84388124833165
2010-08-30,35.17,30.67,1.1523346155403342,-0.17210265862205176,29.82789734137795
2010-08-31,35.41,30.81,1.1529029775110102,-0.1109407371142268,29.889059262885773
2010-09-01,36.11,31.48,1.1534585217608773,-0.200874265032418,29.799125734967582
2010-09-02,35.86,31.48,1.1540473345623719,-0.46941009202346606,29.530589907976534
2010-09-03,36.12,31.62,1.1543773233901489,-0.38141096559650833,29.61858903440349
2010-09-07,36.17,31.46,1.1547054038914122,-0.15703200642382598,29.842967993576174
2010-09-08,36.08,31.31,1.1553027660838706,-0.09252960608598926,29.90747039391401
2010-09-09,36.35,31.62,1.15607574338813,-0.20511500593266874,29.79488499406733
2010-09-10,36.63,31.44,1.156624941856372,0.26571182803566273,30.265711828035663
2010-09-13,36.7,31.55,1.1574281688899046,0.18314127152351034,30.18314127152351
2010-09-14,36.42,31.51,1.158165811442859,-0.07380471856448878,29.92619528143551
2010-09-15,36.18,31.33,1.1585466470919672,-0.11726645339133057,29.88273354660867
2010-09-16,36.0,31.22,1.158877026365985,-0.18014076314605632,29.819859236853944
2010-09-17,35.88,30.85,1.1590160540536252,0.12435473244566708,30.124354732445667
2010-09-20,36.34,31.26,1.1594693189105536,0.09498909085609597,30.094989090856096
2010-09-21,36.01,31.1,1.159814963192372,-0.06024535528277397,29.939754644717226
2010-09-22,36.43,31.32,1.1600181558920808,0.09823135746002976,30.09823135746003
2010-09-23,36.1,30.96,1.1602621554573735,0.17828366703971454,30.178283667039715
2010-09-24,36.5,31.46,1.1605160530403733,-0.009835028650144295,29.990164971349856
2010-09-27,36.54,31.52,1.160759122642911,-0.04712754570455502,29.952872454295445
2010-09-28,36.72,31.54,1.1609475999427052,0.10371269780707593,30.103712697807076
2010-09-29,36.46,31.48,1.16115498575582,-0.09315895159321741,29.906841048406783
2010-09-30,36.23,31.38,1.161014215493136,-0.20262608217461064,29.79737391782539
2010-10-01,36.22,31.55,1.160763550732539,-0.40209002561160645,29.597909974388394
2010-10-04,36.2,31.49,1.1603291770142654,-0.3387657841792162,29.661234215820784
2010-10-05,36.34,31.84,1.1600068887394812,-0.5946193374650761,29.405380662534924
2010-10-06,36.26,31.69,1.159580736787854,-0.4871135488070948,29.512886451192905
2010-10-07,36.05,31.75,1.159321665994079,-0.7584628953120145,29.241537104687986
2010-10-08,36.19,31.85,1.158868354025443,-0.7199570757103615,29.28004292428964
2010-10-11,36.29,31.86,1.1583299841031494,-0.6143932935263408,29.38560670647366
2010-10-12,35.86,31.73,1.1578026894219884,-0.8770793353596957,29.122920664640304
2010-10-13,35.83,31.85,1.1570774750154067,-1.0229175792407048,28.977082420759295
2010-10-14,35.79,31.8,1.1561387973054589,-0.975213754313593,29.024786245686407
2010-10-15,35.94,31.895,1.1552800351241426,-0.9076567202845283,29.09234327971547
2010-10-18,36.33,31.9,1.1544521511860417,-0.4970236228347318,29.502976377165268
2010-10-19,36.52,31.96,1.1538609988343647,-0.35739752274628955,29.64260247725371
2010-10-20,36.82,32.22,1.1532737050560593,-0.3384787769062285,29.66152122309377
2010-10-21,36.9,32.08,1.152711966329225,-0.07899987984153256,29.921000120158467
2010-10-22,36.7,31.87,1.1522053930620229,-0.020785876886669996,29.97921412311333
2010-10-25,36.46,31.8,1.1517080471911005,-0.1643159006769963,29.835684099323004
2010-10-26,36.66,31.72,1.1511011114404712,0.14707274510825386,30.147072745108254
2010-10-27,36.85,31.59,1.15087166986781,0.49396394887588,30.49396394887588
2010-10-28,37.21,31.67,1.150746008531376,0.7658739098113188,30.76587390981132
2010-10-29,37.44,31.72,1.1509789853186467,0.9309465856925243,30.930946585692524
2010-11-01,37.28,31.41,1.15105478747702,1.1253691253468006,31.1253691253468
2010-11-02,37.63,31.78,1.1514917786351553,1.035591274974763,31.035591274974763
2010-11-03,37.55,31.72,1.1520289530421306,1.0076416095036151,31.007641609503615
2010-11-04,37.59,32.06,1.152445923819165,0.6425836823575679,30.642583682357568
2010-11-05,37.7,32.05,1.152702227325696,0.7558936142114518,30.755893614211452
2010-11-08,36.93,31.87,1.1530653092573615,0.18180859396788662,30.181808593967887
2010-11-09,36.9,31.76,1.1531004241871043,0.2775305278175608,30.27753052781756
2010-11-10,36.6,31.62,1.1530783454643523,0.13966271641717753,30.139662716417178
2010-11-11,36.54,31.6,1.1531450666485146,0.1006158939069337,30.100615893906934
2010-11-12,36.52,31.34,1.153370379940844,0.3733722926539542,30.373372292653954
2010-11-15,36.43,31.445,1.1536746500102997,0.15270063042612492,30.152700630426125
2010-11-16,35.94,31.08,1.1539252493420662,0.07600325044857925,30.07600325044858
2010-11-17,35.72,31.065,1.1541093956811885,-0.13240837683612483,29.867591623163875
2010-11-18,36.06,31.25,1.1540646970356114,-0.004521782362857607,29.995478217637142
2010-11-19,35.75,31.13,1.1541136723144603,-0.1775586191491456,29.822441380850854
2010-11-22,35.99,31.22,1.1540567726147721,-0.03965244103318355,29.960347558966816
2010-11-23,35.68,30.88,1.1541546033751366,0.039705847775778125,30.039705847775778
2010-11-24,36.02,31.065,1.1542921901351055,0.1619131134529468,30.161913113452947
2010-11-26,35.85,30.86,1.1544556914636963,0.22349736143033283,30.223497361430333
2010-11-29,35.68,30.8,1.1546937128584078,0.11543364396104039,30.11543364396104
2010-11-30,35.6,30.76,1.1550117664872352,0.07183806285264183,30.071838062852642
2010-12-01,36.4,31.12,1.155261839946744,0.44825154085732066,30.44825154085732
2010-12-02,36.08,31.21,1.155588141981996,0.014094088741899213,30.0140940887419
2010-12-03,35.99,31.275,1.1556488539112102,-0.15291790607309252,29.847082093926907
2010-12-06,35.8,31.19,1.1556702880989405,-0.24535628580595414,29.754643714194046
2010-12-07,35.42,30.98,1.1553855754814042,-0.3738451284138975,29.626154871586103
2010-12-08,35.08,30.87,1.1550596372479882,-0.576691001845397,29.423308998154603
2010-12-09,35.37,31.0,1.1547474747885855,-0.42717171844615365,29.572828281553846
2010-12-10,35.64,31.12,1.1545237563171504,-0.28877929658972334,29.711220703410277
2010-12-13,35.87,31.265,1.154395780631321,-0.2221840814382503,29.77781591856175
2010-12-14,36.08,31.35,1.1541404725469915,-0.1023038143481898,29.89769618565181
2010-12-15,35.72,31.08,1.1539490305505222,-0.1447358695102281,29.855264130489772
2010-12-16,36.05,31.3575,1.153809474647323,-0.13058060125344184,29.869419398746558
2010-12-17,35.99,31.15,1.1535864582573845,0.05578182528248021,30.05578182528248
2010-12-20,35.96,31.19,1.1534152843472878,-0.01502271879190431,29.984977281208096
2010-12-21,35.8,31.2,1.1532944126618674,-0.1827856750502619,29.817214324949738
2010-12-22,35.96,31.34,1.153098689634201,-0.17811293313585708,29.821887066864143
2010-12-23,35.92,31.36,1.1528183289635388,-0.23238279629656944,29.76761720370343
2010-12-27,35.88,31.38,1.1526060012267454,-0.2887763184952661,29.711223681504734
2010-12-28,36.05,31.49,1.1524211632030745,-0.23974242926481537,29.760257570735185
2010-12-29,36.12,31.38,1.1523678510930486,-0.041303167299865606,29.958696832700134
2010-12-30,36.05,31.33,1.1523927132011351,-0.054463704591562134,29.945536295408438
2010-12-31,35.98,31.34,1.1525528297777212,-0.14100568523378598,29.858994314766214
2011-01-03,36.25,31.4925,1.1526195422241061,-0.04887093349265825,29.95112906650734
2011-01-04,36.51,31.635,1.1528855754757137,0.03846481982579064,30.03846481982579
2011-01-05,35.96,31.44,1.1531903120782363,-0.29630341173974983,29.70369658826025
2011-01-06,36.14,31.47,1.153275335340606,-0.15357480316886551,29.846425196831134
