date,TOL,XHB,beta,value,price
2018-08-01,35.31,39.38,0.9683679963051094,-2.824331694495207,27.175668305504793
2018-08-02,34.88,39.37,0.965077259655041,-3.1150917126189555,26.884908287381045
2018-08-03,35.08,39.49,0.9616069551029205,-2.8938586570143343,27.106141342985666
2018-08-06,35.27,39.59,0.9585742126066154,-2.6799530770959024,27.320046922904098
2018-08-07,35.92,39.97,0.9555639374545054,-2.2738905800565803,27.72610941994342
2018-08-08,36.04,39.73,0.9526788891302918,-1.809932265146486,28.190067734853514
2018-08-09,36.28,39.84,0.949852865426789,-1.5621381586032754,28.437861841396725
2018-08-10,35.67,39.33,0.9475761130375159,-1.5981685257654945,28.401831474234505
2018-08-13,34.17,38.63,0.9449947888129624,-2.3351486918447364,27.664851308155264
2018-08-14,34.22,39.05,0.9419151087262676,-2.561784995760746,27.438215004239254
2018-08-15,34.12,39.05,0.9384851359994747,-2.527844560779485,27.472155439220515
2018-08-16,34.11,39.24,0.9348681897358082,-2.5742277652331182,27.42577223476688
2018-08-17,34.4,39.47,0.9326142728563253,-2.4102853496391603,27.58971465036084
2018-08-20,34.73,39.6,0.9303694847933047,-2.112631597814868,27.887368402185132
2018-08-21,39.52,40.62,0.9281473555327252,1.8186544182607065,31.818654418260707
2018-08-22,38.37,40.49,0.9273549576938354,0.821397762976602,30.821397762976602
2018-08-23,37.29,40.47,0.9260650398157861,-0.18785216134486404,29.812147838655136
2018-08-24,37.01,40.39,0.9247707721986812,-0.34149148910473315,29.658508510895267
2018-08-27,37.52,40.63,0.9233377566490159,0.0047869473504889015,30.00478694735049
2018-08-28,37.12,40.45,0.9220463081112609,-0.17677316310050628,29.823226836899494
2018-08-29,36.88,40.33,0.9207847383559898,-0.25524849789706394,29.744751502102936
2018-08-30,36.25,39.99,0.9196904554181927,-0.5284213121735277,29.471578687826472
2018-08-31,36.23,40.02,0.9186011824984152,-0.5324193235865806,29.46758067641342
2018-09-04,36.64,40.15,0.9175093828739941,-0.19800172239086322,29.801998277609137
2018-09-05,37.4,40.48,0.9163122005734307,0.30768212078752555,30.307682120787526
2018-09-06,36.83,40.36,0.9154943381002786,-0.1193514857272433,29.880648514272757
2018-09-07,36.09,40.0,0.9144082832518556,-0.486331330074222,29.513668669925778
2018-09-10,36.29,40.31,0.9135267916478342,-0.5342649713241983,29.4657350286758
2018-09-11,36.57,40.45,0.9126215718722496,-0.3455425822324969,29.654457417767503
2018-09-12,36.95,40.63,0.9118833300507717,-0.09981969996285756,29.900180300037142
2018-09-13,36.35,40.23,0.9114868953865942,-0.3191178014026832,29.680882198597317
2018-09-14,36.78,40.37,0.9110468231822693,0.0010397481317951929,30.001039748131795
2018-09-17,36.17,40.09,0.9108352253620702,-0.34538418476539334,29.654615815234607
2018-09-18,36.49,40.24,0.9103215743334078,-0.1413401511763297,29.85865984882367
2018-09-19,36.33,40.22,0.9099163965116577,-0.2668374676988705,29.73316253230113
2018-09-20,35.86,40.1,0.9095443573666571,-0.6127287304029494,29.38727126959705
2018-09-21,35.85,39.91,0.9089634488547962,-0.42673124379491156,29.57326875620509
2018-09-24,35.12,39.39,0.9086430888152145,-0.671451268431305,29.328548731568695
2018-09-25,35.25,39.31,0.9080362432724701,-0.44490472304079987,29.5550952769592
2018-09-26,34.36,38.96,0.9074114772449738,-0.9927511534641837,29.007248846535816
2018-09-27,33.55,38.67,0.9066477871169334,-1.51006992781182,28.48993007218818
2018-09-28,33.03,38.44,0.9056518139554715,-1.7832557284483173,28.216744271551683
2018-10-01,33.15,38.3,0.9046627363768145,-1.4985828032319972,28.501417196768003
2018-10-02,33.4,38.08,0.9038087077194363,-1.0170355899561372,28.982964410043863
2018-10-03,32.74,37.94,0.9029883698995795,-1.519378753990047,28.480621246009953
2018-10-04,32.28,37.46,0.9021919231824573,-1.5161094424148516,28.48389055758515
2018-10-05,32.06,37.18,0.9012734281988108,-1.449346060431786,28.550653939568214
2018-10-08,32.5,37.27,0.9004247707105705,-1.0588312043829617,28.94116879561704
2018-10-09,31.7,36.2,0.8998032465232287,-0.8728775241408862,29.127122475859114
2018-10-10,31.42,35.54,0.8992430431330846,-0.5390977529498215,29.46090224705018
