date,ADI,XSD,beta,value,price
2010-10-04,31.03,22.32,1.3649549704333221,0.564205059928252,30.564205059928252
2010-10-05,32.01,22.7049945,1.366094741584963,0.9928264058344922,30.992826405834492
2010-10-06,31.6,22.25,1.3677166981879392,1.1683034653183562,31.168303465318356
2010-10-07,31.91,22.344994,1.369481574318895,1.3089424387337374,31.308942438733737
2010-10-08,32.34,22.5899965,1.3717728453388138,1.351656225001154,31.351656225001154
2010-10-11,32.49,22.7949985,1.3740129005548436,1.169377992871695,31.169377992871695
2010-10-12,32.56,22.9649965,1.3758076850122525,0.9645813290205183,30.96458132902052
2010-10-13,31.42,22.904999,1.3774896350978798,-0.13139871442729856,29.8686012855727
2010-10-14,31.42,22.804993,1.3782551862877264,-0.011099875505294676,29.988900124494705
2010-10-15,31.67,23.054993,1.3789650316485016,-0.12202915190098196,29.877970848099018
2010-10-18,31.55,22.9549945,1.379560003646686,-0.11779229612965736,29.882207703870343
2010-10-19,31.27,22.5849995,1.3800711049274965,0.10109478524804416,30.101094785248044
2010-10-20,31.54,22.6199955,1.3809116332519884,0.30378506994236787,30.303785069942368
2010-10-21,31.4,22.469994,1.381927661154447,0.3480937454255404,30.34809374542554
2010-10-22,32.01,23.024994,1.3830164303719084,0.16605498878539038,30.16605498878539
2010-10-25,32.27,23.309998,1.3836764980516616,0.016503597768767975,30.016503597768768
2010-10-26,31.99,23.3299945,1.3840588821713031,-0.3000861087326534,29.699913891267347
2010-10-27,32.79,23.9549945,1.3842698700568559,-0.37017712372770006,29.6298228762723
2010-10-28,32.93,24.074997,1.3843224001908117,-0.3975576316265901,29.60244236837341
2010-10-29,33.67,24.279999,1.3843259986555385,0.05856613696952451,30.058566136969525
2010-11-01,33.8,24.2149965,1.3847618754556146,0.2679960325088544,30.267996032508854
2010-11-02,34.35,24.4149935,1.3854847601110871,0.5233985875387503,30.52339858753875
2010-11-03,34.66,24.6199955,1.3863730193936497,0.527502501206925,30.527502501206925
2010-11-04,35.63,25.354996,1.3871942341511108,0.45769574187552564,30.457695741875526
2010-11-05,35.53,25.689995,1.3877040208542508,-0.12010935722559424,29.879890642774406
2010-11-08,35.42,25.689995,1.3880010171927653,-0.2377391916770506,29.76226080832295
2010-11-09,35.07,25.434998,1.3881966142660829,-0.23877810746459005,29.76122189253541
2010-11-10,34.71,25.4099965,1.388267895126694,-0.5658823562316613,29.43411764376834
2010-11-11,34.07,25.1599965,1.3879968235761582,-0.8519952231872523,29.148004776812748
2010-11-12,34.21,25.0849995,1.3868593319436342,-0.5793656483763954,29.420634351623605
2010-11-15,34.05,24.9249955,1.3859492158058389,-0.49477796718906575,29.505222032810934
2010-11-16,33.76,24.5499955,1.385234348210548,-0.24749701501438892,29.75250298498561
2010-11-17,33.92,24.574997,1.3842917410940128,-0.09896538451013726,29.901034615489863
2010-11-18,34.55,25.054993,1.38359334503991,-0.11592157482153453,29.884078425178465
2010-11-19,35.18,25.4749985,1.3831935521967758,-0.05685366742253706,29.943146332577463
2010-11-22,35.96,25.695,1.382637246509262,0.43313595094451074,30.43313595094451
2010-11-23,35.71,25.524994,1.3827481176232184,0.4153625941560577,30.415362594156058
2010-11-24,36.37,26.234993,1.3829041935520463,0.08951816249141586,30.089518162491416
2010-11-26,35.86,26.019997,1.3828183425079457,-0.12092912360171937,29.87907087639828
2010-11-29,35.78,25.9099965,1.382643293187631,-0.04428288723998719,29.955717112760013
2010-11-30,35.56,25.6199955,1.382478681049131,0.14090241267533088,30.14090241267533
2010-12-01,36.66,26.4749985,1.382602772882348,0.05559366184399295,30.055593661843993
2010-12-02,37.26,27.07,1.3828419100734333,-0.17353050568784312,29.826469494312157
2010-12-03,37.63,27.3699955,1.3828176310534142,-0.21771233925260702,29.782287660747393
2010-12-06,37.18,27.434998,1.3826977941281118,-0.7543112165091586,29.24568878349084
2010-12-07,37.86,27.4749985,1.3823753761797584,-0.12076138697580063,29.8792386130242
2010-12-08,38.23,27.734993,1.382637621205471,-0.1174447456703902,29.88255525432961
2010-12-09,38.13,27.7449955,1.3830052546520164,-0.24147456679654766,29.758525433203452
2010-12-10,37.74,27.769997,1.3833778240297596,-0.6763980231729505,29.32360197682705
2010-12-13,37.56,27.4149935,1.3832167926645074,-0.36087937998831876,29.63912062001168
2010-12-14,37.49,27.154999,1.3829828843759304,-0.0648988422455048,29.935101157754495
2010-12-15,37.14,26.929993,1.3830331700277376,-0.10507358761478258,29.894926412385217
2010-12-16,37.28,27.179993,1.3831300502687809,-0.3134650843951121,29.686534915604888
2010-12-17,37.49,27.189995,1.3831607432920934,-0.11813369430829823,29.8818663056917
2010-12-20,37.52,27.104996,1.3833527842018216,0.024228317620767825,30.024228317620768
2010-12-21,37.98,27.2649995,1.383555719738977,0.2573539930946538,30.257353993094654
2010-12-22,37.58,27.274994,1.3838042271246656,-0.1632519919998927,29.836748008000107
2010-12-23,37.67,27.179993,1.383663153790291,0.06204516562196716,30.062045165621967
2010-12-27,38.12,27.2849965,1.383791103929484,0.36326457255289313,30.363264572552893
2010-12-28,37.55,27.1649935,1.3840678301795293,-0.0481936103860221,29.951806389613978
2010-12-29,37.64,27.229996,1.3839477710605592,-0.04489227018794395,29.955107729812056
2010-12-30,37.96,27.3399965,1.3838342511324302,0.12597641745923482,30.125976417459235
2010-12-31,37.67,27.300049,1.3835762893753467,-0.1017004951851419,29.898299504814858
2011-01-03,37.95,27.689995,1.3830375818248513,-0.3463037255422208,29.65369627445778
2011-01-04,37.52,27.9684985,1.382217415337039,-1.1385457075278467,28.861454292472153
2011-01-05,37.6,28.2849965,1.3807685003543066,-1.4550321998318054,28.544967800168195
2011-01-06,37.81,28.7249985,1.3791468977725132,-1.8059925697950945,28.194007430204906
2011-01-07,37.59,28.875,1.37733797398089,-2.180633998698191,27.81936600130181
2011-01-10,37.7,29.25,1.375846766101919,-2.543517908481128,27.456482091518872
2011-01-11,38.03,29.2849965,1.3739894729498285,-2.20727690637257,27.79272309362743
2011-01-12,38.04,29.8499985,1.372413977570748,-2.9265551718658642,27.073444828134136
2011-01-13,37.85,29.949997,1.3702723211662948,-3.189651908113568,26.810348091886432
2011-01-14,38.6,30.4149935,1.3678051825057473,-3.001785735178622,26.998214264821378
2011-01-18,39.86,30.4249955,1.3653131992855556,-1.6796479443536327,28.320352055646367
2011-01-19,39.04,29.6649935,1.3637295936701124,-1.4150295319815243,28.584970468018476
2011-01-20,38.93,29.269997,1.3624223168969716,-0.9480971283074098,29.05190287169259
2011-01-21,38.77,29.104996,1.3615030607364722,-0.8565411367227753,29.143458863277225
2011-01-24,39.35,29.8349995,1.3608082437205067,-1.2497132709971908,28.75028672900281
2011-01-25,38.78,29.5349965,1.3598518167134364,-1.383218647149981,28.61678135285002
2011-01-26,38.89,29.5049975,1.3588204236610655,-1.2019932030686817,28.79800679693132
2011-01-27,39.18,30.0849995,1.3576500057879592,-1.6648997453057461,28.335100254694254
2011-01-28,38.3,29.32,1.3560279531378119,-1.4587395860006467,28.541260413999353
2011-01-31,38.83,29.5999985,1.3544013405568978,-1.260277648882166,28.739722351117834
2011-02-01,39.67,30.3299945,1.3528604611463246,-1.3622503458354913,28.63774965416451
2011-02-02,39.76,30.484993,1.3512119446187976,-1.4316866732204332,28.568313326779567
2011-02-03,39.23,30.4099965,1.349799327603611,-1.8173928281281704,28.18260717187183
2011-02-04,40.0,30.875,1.3481834717724543,-1.625164690974529,28.37483530902547
2011-02-07,39.86,30.899994,1.3466728738324407,-1.7521837213851725,28.247816278614827
2011-02-08,39.62,30.75,1.3452445356575935,-1.7462694714710025,28.253730528528997
