date,CMCSA,XLY,beta,value,price
2021-01-13,50.160004,168.16,0.3127899217870982,-2.4387492477184267,27.561250752281573
2021-01-14,49.580002,167.09,0.3127446797601847,-2.676506541129264,27.323493458870736
2021-01-15,48.690003,165.8,0.312736738753736,-3.161748285369434,26.838251714630566
2021-01-19,48.845002,166.74001,0.3127240843349761,-3.2986149492547625,26.701385050745237
2021-01-20,48.880005,169.89,0.3126397542426842,-4.234362848289614,25.765637151710386
2021-01-21,49.130005,170.67999,0.3123904513008015,-4.18879410411629,25.81120589588371
2021-01-22,48.679993,170.10001,0.31219108193049766,-4.423713158288464,25.576286841711536
2021-01-25,48.970002,170.73,0.3119963795708727,-4.297139884135085,25.702860115864915
2021-01-26,50.089997,170.62,0.3118427777803174,-3.1166177448777574,26.883382255122243
2021-01-27,48.419999,165.36,0.3118091958980703,-3.140769633704913,26.859230366295087
2021-01-28,51.600007,165.88,0.3117090046912251,-0.10628269818041503,29.893717301819585
2021-01-29,49.570008,162.00999,0.3119156557592868,-0.9634442704054962,29.036555729594504
2021-02-01,50.149994,166.22,0.3121444121198715,-1.7346501825650407,28.26534981743496
2021-02-02,51.179993,169.75,0.31227442060092403,-1.8285898970068502,28.17141010299315
2021-02-03,50.470002,168.8,0.31238817620302467,-2.2611221430705655,27.738877856929435
2021-02-04,51.449997,170.60001,0.3124895714911693,-1.8607270212891933,28.139272978710807
2021-02-05,51.110001,172.23,0.3126006040745553,-2.7292010397606603,27.27079896023934
2021-02-08,51.850007,173.21001,0.3123396508770033,-2.250347051802258,27.749652948197742
2021-02-09,52.720002,172.25,0.3120536088734294,-1.0312321284482167,28.968767871551783
2021-02-10,52.75,170.55,0.31194931992044744,-0.4529565124323156,29.547043487567684
2021-02-11,53.229996,170.08,0.31181655084534243,0.196237032224154,30.196237032224154
2021-02-12,53.229996,170.32001,0.3117259952799282,0.13682136666267297,30.136821366662673
2021-02-16,52.839997,169.58,0.31163503039682205,-0.007071454693090118,29.99292854530691
2021-02-17,52.990006,170.56,0.3114847118225245,-0.13682644844978142,29.86317355155022
2021-02-18,52.559998,170.61,0.3113496408325953,-0.5593642224490907,29.44063577755091
2021-02-19,52.100007,169.62,0.3111574928340923,-0.6785269345187359,29.321473065481264
2021-02-22,52.5,166.03999,0.31095713343111925,0.8686806746682976,30.868680674668298
2021-02-23,53.339997,164.95,0.3109026546499545,2.0566041154900105,32.05660411549001
2021-02-24,53.399994,166.67999,0.3107891055679676,1.5976689918222107,31.59766899182221
2021-02-25,52.240006,160.48,0.3106870003626302,2.380956181805111,32.38095618180511
2021-02-26,52.720002,161.14999,0.3106695801430294,2.6556022666466106,32.65560226664661
2021-03-01,54.449997,164.92999,0.31079945151794247,3.189846569140265,33.189846569140265
2021-03-02,54.25,163.03,0.3109500040250129,3.5558208438021524,33.55582084380215
2021-03-03,53.729996,159.2,0.31110404555733434,4.202231947272374,34.202231947272374
2021-03-04,53.929993,155.83,0.311275635935105,5.4239106522325855,35.423910652232586
2021-03-05,55.089997,156.82001,0.31155310258134283,6.2322363376627905,36.23223633766279
2021-03-08,55.475007,157.00999,0.31188264544968697,6.506315956771104,36.506315956771104
2021-03-09,55.570008,162.94,0.3122855194276352,4.686205464461118,34.68620546446112
2021-03-10,57.210007,163.77,0.3125454390762451,6.024440442483332,36.02444044248333
2021-03-11,56.89,166.28,0.31301738156322667,4.841469793666668,34.84146979366667
2021-03-12,57.089997,166.77,0.31331904186031084,4.837780388955956,34.837780388955956
2021-03-15,57.529999,169.00999,0.31362655882830953,4.523977428692994,34.523977428692994
2021-03-16,58.039994,167.25999,0.3139235493299794,5.533144278303141,35.53314427830314
2021-03-17,57.5,169.61,0.31436133746021294,4.181173553373277,34.18117355337328
2021-03-18,55.869996,165.46001,0.3147129841191179,3.797582500520903,33.7975825005209
2021-03-19,55.460007,166.45,0.31504185124292106,3.0212908606157924,33.02129086061579
2021-03-22,56.369996,167.28,0.3152870864560913,3.628772177625045,33.628772177625045
2021-03-23,56.14,165.71001,0.31561183151814964,3.839960243009102,33.8399602430091
2021-03-24,55.919999,163.25999,0.3159673680950576,4.3351696444745755,34.335169644474576
2021-03-25,56.300004,164.69,0.31634803257436434,4.200646515327939,34.20064651532794
2021-03-26,55.179993,166.06,0.31670845709031353,2.5873866155825382,32.58738661558254
2021-03-29,55.190003,165.14999,0.31687494499985314,2.8581090020237028,32.8581090020237
2021-03-30,54.979996,166.77,0.31713122884572026,2.0920209653992288,32.09202096539923
2021-03-31,54.110001,168.07001,0.31720463063668897,0.7974155568453796,30.79741555684538
2021-04-01,54.75,169.42,0.3172908090420673,0.9945911320929639,30.994591132092964
2021-04-05,54.800004,173.27,0.31748634379887436,-0.21085479003096452,29.789145209969035
2021-04-06,54.839997,174.02,0.3175569541515065,-0.42126416144516554,29.578735838554834
2021-04-07,54.600007,173.5,0.3176967256575654,-0.5203749015876014,29.4796250984124
2021-04-08,54.330002,174.32001,0.3178528299305413,-1.078106492020261,28.92189350797974
2021-04-09,53.570008,175.98,0.3178522904969904,-2.3656380816603644,27.634361918339636
2021-04-12,53.320008,177.11,0.3179491224248736,-2.991961072669369,27.00803892733063
2021-04-13,53.875,178.98,0.3179646143478989,-3.0343066759869473,26.965693324013053
2021-04-14,53.300004,177.22,0.31799416221430393,-3.054921427618943,26.945078572381057
2021-04-15,54.14,178.49001,0.31806943723014824,-2.6322170319035365,27.367782968096463
2021-04-16,55.110001,179.87,0.31820435489928506,-2.1254163157344053,27.874583684265595
2021-04-19,54.14,177.85001,0.31849722603106556,-2.504734834597272,27.495265165402728
2021-04-20,54.160004,175.61,0.3187601051912397,-1.817458072633606,28.182541927366394
2021-04-21,54.654999,177.95,0.3191259934462911,-2.133471533767505,27.866528466232495
2021-04-22,54.399994,175.98,0.3194552632200146,-1.8177432214581657,28.182256778541834
2021-04-23,54.39,177.82001,0.31970903978408727,-2.460664651496792,27.539335348503208
2021-04-26,54.320008,178.60001,0.3198829575257297,-2.8110914129248954,27.188908587075105
2021-04-27,54.300004,178.39,0.31973179308629157,-2.736950568663545,27.263049431336455
2021-04-28,54.100007,178.17999,0.31965805361571936,-2.856661796668341,27.14333820333166
2021-04-29,56.399994,178.23,0.31965048245795247,-0.5713114884808661,29.428688511519134
2021-04-30,56.149994,178.92,0.31989398638317,-1.085438043676774,28.914561956323226
2021-05-03,56.570008,178.07001,0.3201255800918138,-0.43475724820508077,29.56524275179492
2021-05-04,56.630005,176.21001,0.32039193160305685,0.17373952830602946,30.17373952830603
2021-05-05,56.410004,175.66,0.32081323892626645,0.055950450212037595,30.055950450212038
2021-05-06,56.979996,176.03999,0.32118948449346457,0.4378023616653479,30.437802361665348
2021-05-07,58.110001,177.62,0.32149180274181643,1.0066269969985626,31.006626996998563
2021-05-10,57.509995,174.46001,0.32179820196041453,1.3690774680040576,31.369077468004058
2021-05-11,57.5,172.49001,0.32208173252929323,1.9441187352048814,31.94411873520488
2021-05-12,56.619996,166.64999,0.3224329426565218,2.8865493306200705,32.88654933062007
2021-05-13,57.39,167.83,0.32288781278512796,3.199738380271974,33.199738380271974
2021-05-14,58.679993,170.74001,0.32339993710476317,3.4626845047333674,33.46268450473337
2021-05-17,55.455002,170.42999,0.3239954809804344,0.2364554164593713,30.23645541645937
2021-05-18,54.949997,169.10001,0.324296676845134,0.11142570252107475,30.111425702521075
2021-05-19,54.240006,167.67999,0.32443570879500067,-0.16137040638862032,29.83862959361138
2021-05-20,55.039994,169.39999,0.3244368088653839,0.08040182257205686,30.080401822572057
2021-05-21,55.080002,168.55,0.32450928944250024,0.38396126446658485,30.383961264466585
2021-05-24,55.660004,170.22,0.3245313739113241,0.4182735328144176,30.418273532814418
2021-05-25,55.699997,170.75999,0.3245332186149821,0.2827078346378542,30.282707834637854
2021-05-26,56.850007,172.39,0.324473743535154,0.913978351974805,30.913978351974805
2021-05-27,57.339997,173.08,0.3244380338587033,1.1862620997356288,31.18626209973563
2021-05-28,57.339997,172.84,0.32436661331871985,1.276471553992458,31.276471553992458
2021-06-01,56.949997,172.50999,0.3241929506004829,1.0234743338402055,31.023474333840205
2021-06-02,56.690003,171.71001,0.32391633965513483,1.070325078653397,31.070325078653397
2021-06-03,56.39,169.67,0.32361166395188307,1.4828089772840016,31.482808977284
2021-06-04,57.0,171.03,0.32349285250038745,1.6730174368587356,31.673017436858736
2021-06-07,56.919999,171.03,0.323264364209705,1.6320947892141504,31.63209478921415
2021-06-08,56.429993,172.41,0.32312825788115457,0.7194500587101444,30.719450058710144
2021-06-09,56.259995,171.46001,0.3228984991372845,0.8958151089362048,30.895815108936205
2021-06-10,56.600007,172.27,0.32270458132494084,1.0076887751524382,31.007688775152438
2021-06-11,56.880005,173.21001,0.3224212622015214,1.0334149498618501,31.03341494986185
2021-06-14,57.279999,173.25999,0.3222544229554836,1.4462009012771375,31.446200901277138
2021-06-15,57.320008,172.34,0.32215874874586437,1.799169241137733,31.799169241137733
2021-06-16,57.119996,172.42,0.3221611769687495,1.572965867048211,31.57296586704821
2021-06-17,57.520005,173.07001,0.3220812296211442,1.7774033686562731,31.777403368656273
