date,ODP,XRT,beta,value,price
2011-01-07,5.99,46.935,0.10539880677934581,1.0431070038114045,31.043107003811404
2011-01-10,6.01,47.36,0.10561282551045591,1.0081765838248078,31.008176583824806
2011-01-11,5.87,46.76,0.10586915545272726,0.9195582910304738,30.919558291030473
2011-01-12,5.87,47.2,0.10613540066626681,0.8604090885522062,30.860409088552206
2011-01-13,5.85,47.03,0.1063760051216545,0.8471364791285882,30.847136479128586
2011-01-14,5.76,47.02,0.10663973583423823,0.7457996210741173,30.745799621074116
2011-01-18,5.74,46.97,0.1068835315258947,0.7196805242287256,30.719680524228725
2011-01-19,5.51,46.52,0.10712495913622062,0.5265469009830159,30.526546900983014
2011-01-20,5.91,46.9575,0.10731719672976632,0.8706527345619977,30.870652734561997
2011-01-21,5.6,46.65,0.10759423132417781,0.5807291087271054,30.580729108727105
2011-01-24,5.59,46.83,0.10779102264404555,0.5421464095793471,30.542146409579345
2011-01-25,5.34,46.75,0.10796068436939538,0.2928380057307658,30.292838005730765
2011-01-26,5.47,46.79,0.10806182753911073,0.41378708944500886,30.41378708944501
2011-01-27,5.38,47.38,0.10828248987374553,0.24957562978193604,30.249575629781937
2011-01-28,5.12,46.27,0.10844649245315781,0.10218079419238801,30.10218079419239
2011-01-31,5.25,46.43,0.10858620477028777,0.20834251251553848,30.20834251251554
2011-02-01,5.34,47.06,0.10877973059044076,0.2208258784138577,30.22082587841386
2011-02-02,5.32,46.13,0.10893836543597513,0.2946732024384673,30.294673202438467
2011-02-03,5.54,47.45,0.10912420369370868,0.36205653473352317,30.362056534733522
2011-02-04,5.63,48.11,0.10937623426856159,0.36790936933950213,30.3679093693395
2011-02-07,5.69,48.38,0.10961608247822024,0.38677392970370494,30.386773929703704
2011-02-08,5.76,48.91,0.10984357739461392,0.3875506296294331,30.387550629629434
2011-02-09,5.75,48.9775,0.11007320191500625,0.35888975320778194,30.358889753207784
2011-02-10,5.8,49.17,0.11034652524566849,0.3742613536704802,30.37426135367048
2011-02-11,6.07,49.68,0.11060863769067203,0.5749628795274138,30.574962879527412
2011-02-14,6.06,49.43,0.11098552250983865,0.5739856223386752,30.573985622338675
2011-02-15,5.95,49.25,0.11136004895995617,0.4655175887221583,30.465517588722157
2011-02-16,5.82,50.04,0.11165309908014937,0.23287892202932614,30.232878922029325
2011-02-17,5.62,50.02,0.11188884815489263,0.023319815292270896,30.023319815292272
2011-02-18,5.47,50.12,0.1120857274502524,-0.1477366598066503,29.85226334019335
2011-02-22,5.49,49.2,0.11222904422136769,-0.031668975691290235,29.96833102430871
2011-02-23,5.47,48.36,0.11244577969506905,0.032122093946460595,30.032122093946462
2011-02-24,5.11,48.5,0.1127454362937848,-0.3581536602485631,29.64184633975144
2011-02-25,5.41,49.21,0.11292451338179178,-0.14701530351797398,29.852984696482025
2011-02-28,5.31,49.22,0.11320363213961425,-0.2618827739118137,29.738117226088185
2011-03-01,5.2,48.3,0.11339291062163202,-0.27687758302482646,29.723122416975173
2011-03-02,5.24,48.75,0.11355465520257647,-0.2957894411256028,29.704210558874397
2011-03-03,5.47,49.34,0.11364863066249824,-0.1374234368876639,29.862576563112334
2011-03-04,5.35,49.11,0.11381513392630188,-0.2394612271206853,29.760538772879315
2011-03-07,5.21,48.38,0.11387454749224511,-0.2992506076748187,29.700749392325182
2011-03-08,5.25,48.65,0.1139029677544271,-0.2913793812528782,29.708620618747123
2011-03-09,5.29,48.99,0.11397390805815487,-0.293581755769007,29.706418244230992
2011-03-10,5.22,48.61,0.11408439689207699,-0.3256425329238626,29.67435746707614
2011-03-11,5.34,49.23,0.11419039524764822,-0.2815931580417219,29.718406841958277
2011-03-14,5.27,48.771,0.11433449859282911,-0.30620783087086956,29.693792169129132
2011-03-15,5.21,48.71,0.11446549778613772,-0.36561439716276833,29.63438560283723
2011-03-16,5.05,48.17,0.11459362556503784,-0.4699749434678733,29.530025056532125
2011-03-17,4.95,47.99,0.11463635242698442,-0.5513985529709826,29.448601447029016
2011-03-18,5.04,47.87,0.114684110581755,-0.4499283735486115,29.550071626451388
2011-03-21,4.98,48.77,0.11476138829067842,-0.6169129069363866,29.383087093063615
2011-03-22,4.85,48.33,0.11462520735566636,-0.6898362714993551,29.310163728500644
2011-03-23,4.77,48.68,0.11442160755949406,-0.8000438559961713,29.199956144003828
2011-03-24,4.85,49.46,0.11418280246951383,-0.7974814101421543,29.202518589857846
2011-03-25,4.84,49.93,0.11394525385225229,-0.8492865248429569,29.150713475157044
2011-03-28,4.7,49.6,0.11367688512604351,-0.9383735022517579,29.061626497748243
2011-03-29,4.74,50.19,0.11334656456818634,-0.9488640756772719,29.05113592432273
2011-03-30,4.7,51.13,0.113033827315335,-1.0794195906330781,28.92058040936692
2011-03-31,4.63,50.8,0.11252657465291832,-1.086349992368251,28.913650007631748
2011-04-01,4.21,51.06,0.11198601377508706,-1.5080058633559457,28.491994136644053
2011-04-04,4.17,50.88,0.11118279076547571,-1.4869803941474045,28.513019605852595
2011-04-05,4.36,51.97,0.11038682665388894,-1.376803381202608,28.623196618797394
2011-04-06,4.34,52.109,0.10961237671837418,-1.3717913384177605,28.62820866158224
2011-04-07,4.31,52.55,0.10883531498436907,-1.4092958024285949,28.590704197571405
2011-04-08,4.2,51.97,0.108059196070356,-1.4158364197764008,28.5841635802236
2011-04-11,4.19,51.96,0.10729029874458473,-1.3848039227686222,28.615196077231378
2011-04-12,4.24,51.66,0.10652494793216398,-1.2630788101755908,28.736921189824407
2011-04-13,4.23,51.72,0.10582597937084483,-1.2433196530600936,28.756680346939905
2011-04-14,4.15,51.75,0.10513018738528485,-1.2904871971884901,28.70951280281151
2011-04-15,4.11,52.15,0.10447031794810775,-1.3381270809938188,28.661872919006182
2011-04-18,4.11,51.68,0.10366593263728721,-1.2474553986950028,28.752544601304997
2011-04-19,4.12,51.69,0.10297968619385459,-1.2030199793603433,28.79698002063966
2011-04-20,4.27,52.79,0.10230924101148821,-1.130904832996463,28.869095167003536
2011-04-21,4.24,52.8,0.10172579456626156,-1.13112195309861,28.86887804690139
2011-04-25,4.14,52.78,0.10109582769725091,-1.1958377858609035,28.804162214139097
2011-04-26,4.36,52.95,0.1004808662909192,-0.9604618701041714,29.039538129895828
2011-04-27,4.48,53.68,0.0999925771369353,-0.8876015407106861,29.112398459289313
2011-04-28,4.45,53.62,0.09948520266952052,-0.8843965671396896,29.11560343286031
2011-04-29,4.31,53.31,0.09896306321418183,-0.9657208999480336,29.034279100051968
2011-05-02,4.31,52.93,0.09839099160105542,-0.8978351854438644,29.102164814556136
2011-05-03,4.27,52.69,0.09780405909777237,-0.8832958738616261,29.116704126138373
2011-05-04,4.18,52.62,0.09720470303788264,-0.9349114738533846,29.065088526146617
2011-05-05,4.2,52.6,0.09656808342792615,-0.8794811883089153,29.120518811691085
2011-05-06,4.33,52.72,0.09593292254481484,-0.727583676562638,29.272416323437362
2011-05-09,4.2,52.97,0.09534584649964217,-0.8504694890860458,29.149530510913955
2011-05-10,4.27,53.78,0.09469597526752511,-0.8227495498875008,29.1772504501125
2011-05-11,4.41,53.54,0.09396752200335445,-0.6210211280595974,29.378978871940404
2011-05-12,4.68,54.4,0.0932986437704056,-0.3954462211100651,29.604553778889937
2011-05-13,4.72,54.1,0.09272865808742328,-0.29662040252959976,29.703379597470402
2011-05-16,4.49,53.21,0.09224499770992778,-0.4183563281452569,29.581643671854742
2011-05-17,4.4,53.05,0.09177850185062512,-0.4688495231756624,29.531150476824337
2011-05-18,4.16,53.6,0.09133918844064742,-0.7357805004187021,29.264219499581298
2011-05-19,4.13,53.32,0.09077342678627343,-0.7100391162440989,29.289960883755903
2011-05-20,4.08,52.41,0.09019895704571225,-0.6473273387657787,29.352672661234223
2011-05-23,4.02,52.26,0.08975635308810136,-0.6706670123841771,29.32933298761582
2011-05-24,4.165,52.38,0.08922366987295753,-0.5085358279455159,29.491464172054485
2011-05-25,4.2,52.36,0.08876857845359794,-0.44792276783038787,29.552077232169612
2011-05-26,4.12,53.23,0.08834192815613003,-0.5824408357508011,29.417559164249198
2011-05-27,4.16,53.69,0.08785994768299005,-0.5572005910997353,29.442799408900264
2011-05-31,4.21,54.14,0.08732018620882018,-0.5175148813455248,29.482485118654473
2011-06-01,4.05,52.57,0.08681823584042127,-0.5140346581309458,29.485965341869054
2011-06-02,4.08,52.0,0.08634437247409735,-0.4099073686530623,29.590092631346938
2011-06-03,3.87,51.23,0.08589336678910994,-0.5303171806061018,29.4696828193939
2011-06-06,3.62,50.34,0.08539436281648644,-0.6787522241819275,29.321247775818073
2011-06-07,3.6,50.3,0.0848588861252331,-0.668401972099224,29.331598027900775
2011-06-08,3.57,49.67,0.08429447684402787,-0.6169066648428649,29.383093335157135
2011-06-09,3.65,50.35,0.08375325468421081,-0.5669763733500148,29.433023626649984
2011-06-10,3.41,49.48,0.08323461897538846,-0.7084489469022204,29.29155105309778
2011-06-13,3.33,49.64,0.08270665591661079,-0.77555839970056,29.22444160029944
2011-06-14,3.75,50.9,0.08217678429007363,-0.4327983203647481,29.567201679635254
2011-06-15,3.91,50.13,0.08171334172637658,-0.18628982074325773,29.81371017925674
2011-06-16,3.83,50.18,0.08135604578757878,-0.25244637762070354,29.747553622379296
2011-06-17,3.82,50.59,0.08100420578160507,-0.27800277049140076,29.7219972295086
2011-06-20,4.07,51.71,0.08066959142973064,-0.1014245728313714,29.89857542716863
2011-06-21,4.19,52.74,0.08037558811958774,-0.04900851742705736,29.95099148257294
2011-06-22,4.26,51.93,0.08010615186034897,0.10008753389207747,30.10008753389208
2011-06-23,4.25,52.65,0.07991696100468629,0.042372003103267275,30.042372003103267
2011-06-24,4.17,51.96,0.07970658539822008,0.028445822708484947,30.028445822708484
2011-06-27,4.12,52.36,0.07952017730032278,-0.043676483444900605,29.9563235165551
2011-06-28,4.25,53.47,0.07932282433368869,0.00860858287766586,30.008608582877667
2011-06-29,4.18,53.2,0.07927583047629336,-0.03747418133880753,29.96252581866119
2011-06-30,4.22,53.38,0.07922135863502562,-0.00883612393766775,29.99116387606233
2011-07-01,4.31,54.44,0.07914161619227685,0.0015304144924481733,30.00153041449245
2011-07-05,4.16,54.5,0.0790736740605401,-0.1495152362994352,29.850484763700564
2011-07-06,4.16,54.66,0.07897481836903238,-0.1567635720513092,29.84323642794869
2011-07-07,4.42,56.34,0.0788927212789772,-0.024815916857575893,29.975184083142423
2011-07-08,4.24,55.91,0.07885576761187718,-0.1688259671800525,29.83117403281995
2011-07-11,4.04,54.64,0.07874706507188708,-0.26273963552791013,29.73726036447209
2011-07-12,3.89,54.32,0.07861175247952873,-0.38019039468800075,29.619809605312
2011-07-13,3.96,54.79,0.07846223905655177,-0.33894607790847164,29.66105392209153
2011-07-14,3.75,54.1,0.07834517057163219,-0.4884737279253013,29.511526272074697
2011-07-15,3.76,54.3,0.07816800662738912,-0.4845227598672297,29.51547724013277
2011-07-18,3.56,53.74,0.07798615254692089,-0.6309758378715284,29.369024162128472
2011-07-19,3.6,54.88,0.0777352647801344,-0.6661113311337759,29.333888668866223
2011-07-20,3.59,54.52,0.07747442955595553,-0.6339058993906956,29.366094100609303
2011-07-21,3.74,54.93,0.07725243272875608,-0.5034761297905712,29.49652387020943
2011-07-22,3.6,54.95,0.07700287172711537,-0.6313078014049895,29.36869219859501
2011-07-25,3.52,54.34,0.07668592262296356,-0.6471130353318402,29.35288696466816
2011-07-26,3.89,55.0,0.07636909997852856,-0.31030049881907074,29.68969950118093
2011-07-27,3.82,53.28,0.0761921639201416,-0.23951849366514422,29.760481506334855
2011-07-28,3.81,53.25,0.07602930211895491,-0.23856033783434905,29.76143966216565
2011-07-29,3.78,53.26,0.07587134472403949,-0.26090782000234336,29.739092179997655
2011-08-01,3.82,53.03,0.07573032485990243,-0.19597912732062595,29.804020872679374
2011-08-02,3.51,50.84,0.07560111582323398,-0.3335607284532158,29.666439271546786
2011-08-03,3.56,51.93,0.07539263422923353,-0.3551394955240972,29.644860504475904
2011-08-04,3.18,48.46,0.07521807596094503,-0.4650679610673958,29.534932038932602
2011-08-05,3.24,48.69,0.07501167262841392,-0.41231834027747327,29.587681659722527
2011-08-08,2.78,44.69,0.07476556613559117,-0.5612731505995692,29.43872684940043
2011-08-09,3.08,47.33,0.07441428700123412,-0.4420282037684107,29.55797179623159
2011-08-10,2.6,45.0,0.07406119119932636,-0.732753603969686,29.267246396030313
2011-08-11,2.66,47.21,0.07368379370239164,-0.8186119006899095,29.18138809931009
2011-08-12,2.63,47.15,0.07328982024572536,-0.825615024585951,29.17438497541405
2011-08-15,2.79,47.77,0.07297591741868853,-0.6960595750907514,29.30394042490925
2011-08-16,2.69,47.23,0.07269378413157769,-0.7433274245344141,29.256672575465586
2011-08-17,2.66,46.68,0.07239060558140745,-0.7191934685400994,29.280806531459902
2011-08-18,2.36,44.33,0.07210685564815901,-0.836496910882889,29.16350308911711
2011-08-19,2.23,43.83,0.07175064521573185,-0.9148307798055271,29.085169220194473
2011-08-22,2.18,44.12,0.07135586510508823,-0.9682207684364927,29.031779231563508
2011-08-23,2.23,46.26,0.070980564429072,-1.0535609104888706,28.94643908951113
2011-08-24,2.32,46.74,0.07055540191251658,-0.9777594853910254,29.022240514608974
2011-08-25,2.25,45.73,0.07013238464364444,-0.9571539497538599,29.04284605024614
2011-08-26,2.33,47.12,0.06973274266130654,-0.955806834200764,29.044193165799236
2011-08-29,2.54,49.04,0.06929501214102217,-0.8582273953957271,29.141772604604274
2011-08-30,2.5,49.25,0.06892154020031002,-0.8943858548652686,29.10561414513473
2011-08-31,2.6,49.6,0.06859163399742864,-0.8021450462724604,29.19785495372754
2011-09-01,2.39,48.5,0.06828907680147943,-0.9220202248717522,29.07797977512825
2011-09-02,2.29,46.86,0.06794637375797524,-0.8939670742987196,29.10603292570128
2011-09-06,2.28,47.1,0.06760386698064773,-0.9041421347885081,29.095857865211492
2011-09-07,2.61,49.13,0.06730976748234625,-0.6969288764076715,29.30307112359233
