date,NTRS,KBE,beta,value,price
2011-06-22,46.24,23.48,1.9756992566068323,-0.14941854512841957,29.85058145487158
2011-06-23,45.51,23.24,1.9757616267487819,-0.40670020564169107,29.59329979435831
2011-06-24,44.98,22.99,1.9756500664269152,-0.440195027154779,29.55980497284522
2011-06-27,45.28,23.32,1.975410048784871,-0.7865623376631916,29.21343766233681
2011-06-28,45.26,23.36,1.9750898643863135,-0.8780992320642866,29.121900767935713
2011-06-29,46.14,23.94,1.9743450770811033,-1.1258211453216163,28.874178854678384
2011-06-30,45.96,23.99,1.973308151545129,-1.3796625555676414,28.62033744443236
2011-07-01,46.5,24.44,1.972158767985601,-1.6995602895680904,28.30043971043191
2011-07-05,45.77,24.17,1.9708565138847935,-1.865601940595461,28.13439805940454
2011-07-06,46.0,24.0,1.9693142834952664,-1.263542803886395,28.736457196113605
2011-07-07,46.6,24.4,1.967923666077251,-1.4173374522849187,28.58266254771508
2011-07-08,45.87,24.03,1.9661346206309698,-1.3762149337622063,28.623785066237794
2011-07-11,44.98,23.34,1.9645900941348124,-0.8735327971065274,29.126467202893473
2011-07-12,45.31,23.285,1.9632010101662818,-0.4031355217218717,29.59686447827813
2011-07-13,45.34,23.35,1.9617656615161179,-0.4672281964013507,29.53277180359865
2011-07-14,44.44,23.08,1.960065362079825,-0.7983085568023611,29.20169144319764
2011-07-15,44.29,23.07,1.9579872232422946,-0.8807652401997359,29.119234759800264
2011-07-18,43.39,22.7,1.9577641887335437,-1.0512470842514432,28.948752915748557
2011-07-19,43.64,22.99,1.9570126324908288,-1.3517204209641491,28.64827957903585
2011-07-20,44.19,23.29,1.95592994923739,-1.3636085177388182,28.636391482261182
2011-07-21,45.85,23.85,1.9551058632348768,-0.7792748381518138,29.220725161848186
2011-07-22,45.92,23.77,1.9544405038429649,-0.5370507763472716,29.46294922365273
2011-07-25,45.57,23.65,1.9541374363196269,-0.6453503689591713,29.35464963104083
2011-07-26,45.6,23.58,1.9538924548139123,-0.4727840845120497,29.52721591548795
2011-07-27,44.86,23.02,1.9536075695741533,-0.11204625159700754,29.887953748402992
2011-07-28,44.64,23.0,1.9540758213074485,-0.30374389007131697,29.696256109928683
2011-07-29,44.905,22.88,1.9545811499470942,0.18418328921048754,30.184183289210488
2011-08-01,44.78,22.84,1.955284180319811,0.12130932149551654,30.121309321495517
2011-08-02,43.04,22.09,1.9558243208886072,-0.1641592484293355,29.835840751570665
