date,D,XLU,beta,value,price
2022-03-04,82.7,70.89,1.1430654645400251,1.668089218757629,31.66808921875763
2022-03-07,83.35,71.81,1.1442929409488436,1.1783239104635328,31.178323910463533
2022-03-08,81.56,70.7,1.1454805633138627,0.5745241737099036,30.574524173709904
2022-03-09,81.0,70.2,1.1462502437423385,0.5332328892878309,30.53323288928783
2022-03-10,82.21,70.67,1.147183321480926,1.138554670942952,31.138554670942952
2022-03-11,82.26,70.43,1.1483382238155488,1.3825388966708942,31.382538896670894
2022-03-14,81.32,70.35,1.1494853557084246,0.45370522591233,30.45370522591233
2022-03-15,81.02,71.25,1.150364260914207,-0.9434535901372527,29.056546409862747
2022-03-16,80.76,71.12,1.150925761833294,-1.0938401815838716,28.90615981841613
2022-03-17,82.69,71.42,1.1516215773063254,0.4411869487822315,30.44118694878223
2022-03-18,81.27,70.81,1.152246300614738,-0.32056054652960597,29.679439453470394
2022-03-21,81.83,70.81,1.1528619513377674,0.19584522577268615,30.195845225772686
2022-03-22,81.66,70.91,1.1537005400818852,-0.1489052972064826,29.851094702793517
2022-03-23,81.63,71.01,1.1544182577267506,-0.34524048117656037,29.65475951882344
2022-03-24,82.3,71.74,1.1551768559162163,-0.5723876434293516,29.42761235657065
2022-03-25,83.97,72.78,1.1559591436190737,-0.1607064725961891,29.83929352740381
2022-03-28,84.24,73.25,1.156844381737443,-0.49885096226769576,29.501149037732304
2022-03-29,84.89,73.93,1.157723540762706,-0.7005013685868562,29.299498631413144
2022-03-30,85.43,74.54,1.1586174224013222,-0.9333426657945552,29.066657334205445
2022-03-31,84.97,74.46,1.1593020661743072,-1.3516318473389077,28.648368152661092
2022-04-01,86.33,75.5,1.1598853975272438,-1.2413475133069056,28.758652486693094
2022-04-04,85.35,74.92,1.1602182295442738,-1.5735497574570019,28.426450242542998
2022-04-05,86.09,75.39,1.1602975868653427,-1.3848350737781772,28.615164926221823
2022-04-06,87.84,76.89,1.1602985009388558,-1.3753517371886232,28.624648262811377
2022-04-07,87.66,76.7,1.1602555595123705,-1.331601414598822,28.668398585401178
2022-04-08,88.38,76.96,1.16021422159104,-0.9100864936464319,29.089913506353568
2022-04-11,87.52,75.91,1.1602980840924495,-0.558227563457848,29.441772436542152
