date,LAZ,KCE,beta,value,price
2017-05-09,43.7,46.81,0.9427451779412952,-0.42990177943202923,29.57009822056797
2017-05-10,44.55,47.0328,0.9430181316597392,0.19721681727381224,30.197216817273812
2017-05-11,44.65,46.6312,0.9435778820704426,0.6498310655967785,30.64983106559678
2017-05-12,44.63,46.5092,0.9442786021572341,0.7123576365487665,30.712357636548766
2017-05-15,45.55,46.9329,0.9451138814618089,1.1930647127410694,31.19306471274107
2017-05-16,45.31,46.995,0.9461659835448897,0.8449296033079108,30.84492960330791
2017-05-17,43.53,45.7326,0.9472223613786279,0.21105863601576402,30.211058636015764
2017-05-18,43.56,45.88,0.9481912342815929,0.056986171160517074,30.056986171160517
2017-05-19,44.2,46.2,0.9492449247565333,0.3448844762481613,30.34488447624816
2017-05-22,44.16,46.3796,0.9505658553330484,0.07313585599533923,30.07313585599534
2017-05-23,43.91,46.3784,0.9518018875841748,-0.23304866313389994,29.7669513368661
2017-05-24,43.94,46.2211,0.9528059755092192,-0.09974027460917512,29.900259725390825
2017-05-25,44.38,46.68,0.953646057737111,-0.13619797516833643,29.863802024831664
2017-05-26,44.96,46.664,0.9544601243548718,0.4210727571042625,30.421072757104263
2017-05-30,44.62,46.3553,0.9556208493723077,0.3219088410918616,30.32190884109186
2017-05-31,44.5,46.05,0.9567992157547557,0.4393961144935048,30.439396114493505
2017-06-01,45.19,47.134,0.9580689812145367,0.0323766394340268,30.032376639434027
2017-06-02,44.84,47.2305,0.9589673554114957,-0.4525076797626397,29.54749232023736
2017-06-05,45.03,47.3643,0.9597454834723405,-0.4276730028289748,29.572326997171025
2017-06-06,44.99,47.17,0.9603925367212058,-0.3117159571392776,29.688284042860722
2017-06-07,44.9,47.399,0.9610279993183392,-0.6517661396899612,29.34823386031004
2017-06-08,44.87,47.8,0.9608267396331089,-1.0575181544626062,28.942481845537394
2017-06-09,44.86,48.43,0.96045704509942,-1.6549346941649077,28.345065305835092
2017-06-12,45.14,48.699,0.9598866158923444,-1.6055183073412778,28.394481692658722
2017-06-13,45.17,49.0666,0.9594677379657407,-1.9078197116698092,28.09218028833019
2017-06-14,44.81,49.085,0.9588322895508504,-2.2542829326034948,27.745717067396505
2017-06-15,44.82,49.03,0.9580276864122044,-2.15209746479038,27.84790253520962
2017-06-16,45.35,48.581,0.9572544994304484,-1.1543808368306117,28.84561916316939
2017-06-19,46.01,49.2172,0.9565677800467248,-1.0695877441156654,28.930412255884335
2017-06-20,45.47,48.9636,0.955754290538777,-1.3271707802244634,28.672829219775537
2017-06-21,45.95,48.4204,0.9548327166889992,-0.2833820751680136,29.716617924831986
2017-06-22,45.54,48.43,0.9542480713341454,-0.6742340947126593,29.32576590528734
2017-06-23,45.76,48.2005,0.9535403423133489,-0.201121269674573,29.798878730325427
2017-06-26,45.85,48.4807,0.9529442680413519,-0.34940517563236995,29.65059482436763
2017-06-27,46.31,48.84,0.952344518124551,-0.2025062652030698,29.79749373479693
2017-06-28,46.81,49.3458,0.9517481155408567,-0.15477215985600168,29.845227840144
2017-06-29,46.59,49.1338,0.9511759038455863,-0.1448866243682616,29.85511337563174
2017-06-30,46.33,49.2001,0.9506385928172613,-0.4415138304685371,29.558486169531463
2017-07-03,47.32,49.65,0.9502808854864007,0.13855403560020818,30.138554035600208
2017-07-05,46.81,49.7,0.9497252813094055,-0.3913464810774556,29.608653518922544
2017-07-06,46.55,49.212,0.9489964996071103,-0.15201573866512064,29.84798426133488
2017-07-07,46.59,49.65,0.9481638235146438,-0.48633383750205894,29.51366616249794
2017-07-10,47.1,49.95,0.947111356549052,-0.20821225962514944,29.79178774037485
2017-07-11,46.17,49.64,0.9464476037611779,-0.8116590507048684,29.18834094929513
2017-07-12,45.74,49.87,0.9455653923093408,-1.4153461144668213,28.58465388553318
2017-07-13,46.0,50.35,0.9442983828316324,-1.5454235755726913,28.45457642442731
2017-07-14,46.25,50.274,0.943110108236471,-1.163917581480348,28.836082418519652
2017-07-17,47.06,50.13,0.9418421646303533,-0.15454771291960867,29.84545228708039
2017-07-18,46.82,50.14,0.9410354467876682,-0.36351730193368326,29.636482698066317
2017-07-19,47.23,50.48,0.9405183061193345,-0.2473640929040073,29.752635907095993
2017-07-20,47.02,50.6577,0.9401119323308935,-0.6039082344386983,29.3960917655613
2017-07-21,47.4,50.5783,0.9398021730536062,-0.13359624935721115,29.86640375064279
2017-07-24,48.01,50.7872,0.9397782302710169,0.2812950635798117,30.28129506357981
2017-07-25,47.89,51.6,0.9402427467145353,-0.6265257304700214,29.37347426952998
2017-07-26,47.91,51.46,0.9404006591782879,-0.4830179213146977,29.516982078685302
2017-07-27,46.11,50.5874,0.9405309144567264,-1.4690135819882073,28.530986418011793
2017-07-28,46.02,50.6265,0.9401976756990983,-1.5789176287803954,28.421082371219605
2017-07-31,46.71,51.01,0.9396236320606005,-1.2202014714112295,28.77979852858877
2017-08-01,46.64,51.1599,0.9395030193873392,-1.4248805215543356,28.575119478445664
2017-08-02,46.0,50.4,0.9393359069953877,-1.34252971256754,28.65747028743246
2017-08-03,45.63,50.38,0.9391018246199887,-1.681949924355031,28.31805007564497
2017-08-04,45.48,50.4944,0.938591609060579,-1.9136201445485028,28.086379855451497
2017-08-07,45.75,50.5,0.9377804166260523,-1.6079110396156366,28.392088960384363
2017-08-08,45.5,50.42,0.9369125181665532,-1.739129165957614,28.260870834042386
2017-08-09,44.73,50.16,0.935958732018976,-2.217689998071833,27.782310001928167
2017-08-10,42.96,49.24,0.9346545497136771,-3.062390027901465,26.937609972098535
2017-08-11,43.14,49.2799,0.9331541172327913,-2.845741581820228,27.154258418179772
2017-08-14,44.32,49.9505,0.9319109926657585,-2.229420039150966,27.770579960849034
2017-08-15,43.85,50.015,0.9308860301144614,-2.708264796174781,27.29173520382522
2017-08-16,43.42,49.785,0.9295717418517648,-2.8587291680901075,27.141270831909893
2017-08-17,42.42,48.8387,0.9282583501292392,-2.9149310844568745,27.085068915543125
2017-08-18,42.42,48.7605,0.9270066989441662,-2.7813101438670174,27.218689856132983
2017-08-21,42.67,48.59,0.9257301564383681,-2.311228301340307,27.688771698659693
2017-08-22,43.08,49.2699,0.9245877590737897,-2.4743464307897085,27.52565356921029
2017-08-23,42.76,49.255,0.9231749235051175,-2.7109808572445715,27.28901914275543
2017-08-24,42.15,49.3112,0.9216858326545178,-3.299434431193454,26.700565568806546
2017-08-25,42.19,49.4411,0.9199327537100707,-3.2924872694549734,26.707512730545027
