date,STT,KCE,beta,value,price
2017-02-08,77.35,46.2889,1.737840592693933,-3.092729411150202,26.907270588849798
2017-02-09,77.94,46.92,1.7357703784882539,-3.502346158668871,26.49765384133113
2017-02-10,78.11,47.1012,1.733756185827621,-3.5519968599039373,26.448003140096063
2017-02-13,79.29,47.4701,1.7314550318393094,-2.9023435069152015,27.0976564930848
2017-02-14,81.45,47.709,1.729199454292128,-1.0483767648231463,28.951623235176854
2017-02-15,81.91,48.2177,1.7279875485791238,-1.4095852211236206,28.59041477887638
2017-02-16,80.76,47.95,1.7266777011417307,-2.034195769745992,27.965804230254008
2017-02-17,80.67,48.07,1.7252116254524832,-2.260922835500864,27.739077164499136
2017-02-21,80.53,48.36,1.7237314442610758,-2.829652644465625,27.170347355534375
2017-02-22,80.21,48.3545,1.722229837496882,-3.0675626772429894,26.93243732275701
2017-02-23,79.82,48.29,1.7207395675778774,-3.2745137183356974,26.725486281664303
2017-02-24,78.95,48.085,1.7190786249133412,-3.7118956789580153,26.288104321041985
2017-02-27,79.21,48.312,1.7174744119146186,-3.7646237884190583,26.23537621158094
2017-02-28,79.71,47.71,1.7157781959522664,-2.14977772888264,27.85022227111736
2017-03-01,81.65,48.66,1.7142889855246115,-1.76730203562758,28.23269796437242
2017-03-02,80.37,48.0,1.7126376517105193,-1.8366072821049215,28.16339271789508
2017-03-03,80.22,48.0264,1.7113680604097343,-1.9708470164620735,28.029152983537927
2017-03-06,79.62,47.68,1.7100260779106147,-1.9140433947781048,28.085956605221895
2017-03-07,79.6,47.45,1.7087336887882845,-1.4794135330041058,28.520586466995894
2017-03-08,79.92,47.45,1.707941194811393,-1.1218096938006,28.8781903061994
2017-03-09,79.91,47.48,1.7070883539786377,-1.1425550469057129,28.857444953094287
2017-03-10,79.91,47.52,1.7064820489723465,-1.1820269671659105,28.81797303283409
2017-03-13,79.54,47.667,1.7056090440351537,-1.761266302023671,28.23873369797633
2017-03-14,79.14,47.42,1.704532089808017,-1.6889116986961596,28.31108830130384
2017-03-15,79.66,47.94,1.7034848932114763,-2.0050657805581693,27.99493421944183
2017-03-16,80.61,48.3908,1.7021375062946733,-1.7577956396042822,28.242204360395718
2017-03-17,78.61,47.4,1.7009447558364124,-2.014781426645939,27.98521857335406
2017-03-20,77.76,47.1,1.699782191514943,-2.299741220353809,27.70025877964619
2017-03-21,76.31,46.018,1.698625999942293,-1.8573712653444403,28.14262873465556
2017-03-22,76.79,45.83,1.6975610895702047,-1.0092247350024763,28.990775264997524
2017-03-23,77.27,45.9359,1.6964537095042416,-0.6581279544158889,29.34187204558411
2017-03-24,77.21,45.8079,1.6955986918851482,-0.46181531800567654,29.538184681994323
2017-03-27,78.11,45.4374,1.6948012189876307,1.102639092371433,31.102639092371433
2017-03-28,79.4,46.2293,1.6944088533516182,1.068664795752042,31.068664795752042
2017-03-29,79.31,46.0583,1.6941991881143832,1.2780655340713025,31.278065534071303
2017-03-30,80.04,46.7099,1.6940719152725492,0.9100702448107683,30.91007024481077
2017-03-31,79.61,46.736,1.6935860930457862,0.45856035541214624,30.458560355412146
2017-04-03,78.82,46.35,1.6925055860944578,0.3723660845218717,30.37236608452187
2017-04-04,78.69,46.0808,1.6913561807306976,0.7509541069848638,30.750954106984864
2017-04-05,78.61,46.25,1.6902279064313503,0.4369593275500421,30.436959327550042
2017-04-06,78.88,46.0666,1.6890042254146345,1.0733179495141911,31.07331794951419
2017-04-07,78.78,46.01,1.6880638336549698,1.112183013534846,31.112183013534846
2017-04-10,78.42,45.826,1.686608203325257,1.1294924744167787,31.12949247441678
2017-04-11,78.32,45.7453,1.6852942831433624,1.2257074293219432,31.225707429321943
2017-04-12,77.73,45.567,1.6838554350957076,1.0017593889939036,31.001759388993904
2017-04-13,77.3,45.28,1.6827856619895982,1.1034652251109947,31.103465225110995
2017-04-17,78.48,45.5074,1.6818807136511256,1.9419816115927802,31.94198161159278
2017-04-18,77.71,45.7958,1.6816865614052818,0.6958185711959857,30.695818571195986
2017-04-19,77.87,45.9578,1.6810895089105495,0.6108245673907504,30.61082456739075
2017-04-20,78.32,46.5201,1.6806043644212907,0.1381169066851129,30.138116906685113
2017-04-21,77.7,46.3496,1.6796278060089642,-0.15007695739308247,29.849923042606918
2017-04-24,79.79,47.03,1.6796449962708484,0.7962958253820034,30.796295825382003
2017-04-25,80.62,47.1,1.6802805757990795,1.4787848798633547,31.478784879863355
2017-04-26,83.55,47.215,1.6811880448084642,4.1727064643683605,34.17270646436836
2017-04-27,84.73,47.074,1.6830160020207778,5.5037047208739125,35.50370472087391
2017-04-28,83.9,46.9019,1.6853679971253948,4.853038735624452,34.85303873562445
2017-05-01,83.94,46.8209,1.6876160190288163,4.924299134653694,34.924299134653694
2017-05-02,83.35,46.77,1.6898163712674217,4.31728831582268,34.31728831582268
2017-05-03,83.78,46.96,1.691766750723853,4.334633386007866,34.334633386007866
2017-05-04,83.72,46.9477,1.6938323523496719,4.198466871593311,34.19846687159331
2017-05-05,83.6,46.7411,1.6958497094023375,4.334119147854395,34.334119147854395
2017-05-08,83.39,46.69,1.6977809800517731,4.120606041382715,34.120606041382715
2017-05-09,83.45,46.81,1.6998433652142633,3.8803320743203358,33.880332074320336
2017-05-10,83.56,47.0328,1.701910838900471,3.5143678961619287,33.51436789616193
2017-05-11,82.83,46.6312,1.703697758493004,3.3845290841610307,33.38452908416103
2017-05-12,82.57,46.5092,1.704830488575421,3.279697840748014,33.279697840748014
2017-05-15,82.79,46.9329,1.706092316723905,2.718139908428654,32.718139908428654
2017-05-16,82.9,46.995,1.7074392873493556,2.6588906910170493,32.65889069101705
2017-05-17,79.82,45.7326,1.7088994485494347,1.6675850792681217,31.66758507926812
2017-05-18,79.89,45.88,1.710254838713958,1.4235079998036042,31.423507999803604
2017-05-19,80.81,46.2,1.7116676103010426,1.7309564040918275,31.730956404091827
2017-05-22,80.81,46.3796,1.7133210646932528,1.3468543479527995,31.3468543479528
2017-05-23,81.51,46.3784,1.7150581984391076,1.9683448495116949,31.968344849511695
2017-05-24,81.81,46.2211,1.717102552398134,2.4436312153506066,32.44363121535061
2017-05-25,82.14,46.68,1.718774265462261,1.9076172882216582,31.907617288221658
2017-05-26,81.99,46.664,1.7201966338352226,1.7187442787131602,31.71874427871316
2017-05-30,81.68,46.3553,1.7216212390573895,1.873730977123003,31.873730977123003
2017-05-31,81.46,46.05,1.7231963843531277,2.106806500538468,32.10680650053847
