date,FITB,KBE,beta,value,price
2017-03-22,24.84,41.67,0.608814945290702,-0.5293187702635542,29.470681229736446
2017-03-23,25.06,41.96,0.6083035528210915,-0.46441707637299956,29.535582923627
2017-03-24,24.89,42.01,0.607789004057421,-0.6432160604522537,29.356783939547746
2017-03-27,24.73,41.79,0.6072103199851016,-0.6453192721773924,29.354680727822608
2017-03-28,25.24,42.42,0.6067190035070341,-0.49702012876839063,29.50297987123161
2017-03-29,25.04,42.28,0.6063856034945784,-0.5979833157507741,29.402016684249226
2017-03-30,25.73,43.38,0.6059410146654866,-0.5557212161888074,29.444278783811193
2017-03-31,25.4,42.98,0.6055135631556339,-0.6249729444291425,29.375027055570857
2017-04-03,25.29,42.72,0.6050583574026632,-0.5580930282417746,29.441906971758225
2017-04-04,25.35,42.73,0.6047674056881172,-0.49171124505324215,29.508288754946758
2017-04-05,24.9,42.04,0.6044362848237876,-0.510501413992035,29.489498586007965
2017-04-06,25.18,42.5,0.6040455009493619,-0.49193379034788265,29.508066209652117
2017-04-07,25.01,42.38,0.6036206049232481,-0.571441236647253,29.428558763352747
2017-04-10,24.8,42.18,0.6032011478997074,-0.6430244184096559,29.356975581590344
2017-04-11,24.69,42.37,0.6026884579767386,-0.8459099644744121,29.154090035525588
2017-04-12,24.33,41.86,0.6020538947275511,-0.8719760332952902,29.12802396670471
2017-04-13,23.93,41.01,0.6015493949248004,-0.7395406858660643,29.260459314133936
2017-04-17,24.4,41.73,0.6010594822226483,-0.6822121931511127,29.317787806848887
2017-04-18,24.01,41.53,0.6006489046156378,-0.9349490086874361,29.065050991312564
2017-04-19,24.21,41.74,0.6001112300368907,-0.8386427417398181,29.161357258260182
2017-04-20,24.95,42.49,0.5994722661442982,-0.5215765884712305,29.47842341152877
2017-04-21,24.62,42.36,0.599055629676215,-0.7559964730844655,29.244003526915535
2017-04-24,25.33,43.23,0.5985998196988151,-0.5474702055797778,29.452529794420222
2017-04-25,25.01,43.41,0.5982085277816122,-0.9582321909997802,29.04176780900022
2017-04-26,24.97,43.74,0.5977051451447365,-1.1736230486307768,28.826376951369223
2017-04-27,24.65,43.22,0.5971577410105716,-1.1591575664769067,28.840842433523093
2017-04-28,24.43,42.62,0.5966609848951694,-0.999691176232119,29.00030882376788
2017-05-01,24.79,42.93,0.5961814299010318,-0.804068785651296,29.195931214348704
2017-05-02,24.46,42.7,0.5957731159694597,-0.9795120518959308,29.02048794810407
2017-05-03,24.72,43.02,0.5953178300632671,-0.8905730493217554,29.109426950678245
2017-05-04,24.91,43.15,0.5947367840678366,-0.7528922325271488,29.24710776747285
2017-05-05,24.8,43.07,0.5942643110389979,-0.7949638764496392,29.20503612355036
2017-05-08,24.94,43.13,0.593898537915452,-0.6748439402934459,29.325156059706554
2017-05-09,24.84,42.93,0.5936164661602651,-0.6439548922601794,29.35604510773982
2017-05-10,24.63,43.0,0.5932556744739678,-0.8799940023806165,29.120005997619383
2017-05-11,24.44,42.48,0.5928167086766251,-0.7428537845830299,29.25714621541697
2017-05-12,24.16,42.32,0.5922676081614496,-0.904765177392548,29.095234822607452
2017-05-15,24.64,42.68,0.5917133724346908,-0.6143267355126021,29.385673264487398
2017-05-16,24.9,42.85,0.5912033428008725,-0.43306323901738963,29.56693676098261
2017-05-17,23.78,41.15,0.5907402056082143,-0.5289594607780153,29.471040539221985
2017-05-18,23.82,41.31,0.5902635578042483,-0.5637875728934993,29.4362124271065
2017-05-19,24.18,41.52,0.5897913746046891,-0.30813787358669487,29.691862126413305
2017-05-22,24.39,41.68,0.5894078790189275,-0.1765203975088987,29.8234796024911
2017-05-23,24.74,42.24,0.5890605336540625,-0.1419169415476027,29.858083058452397
2017-05-24,24.48,42.09,0.5886700844524395,-0.297123854603182,29.702876145396818
2017-05-25,24.47,42.01,0.5882032216259839,-0.2404173405075838,29.759582659492416
2017-05-26,24.26,41.86,0.5875392327399204,-0.3343922824930665,29.665607717506933
2017-05-30,24.05,41.42,0.5869932146182689,-0.2632589494886979,29.736741050511302
2017-05-31,23.74,41.13,0.5864731920990887,-0.3816423910355198,29.61835760896448
2017-06-01,24.03,41.74,0.5859707534151296,-0.4284192475475095,29.57158075245249
2017-06-02,23.64,41.4,0.5854492050239948,-0.5975970879933818,29.402402912006618
