date,JPM,XLF,beta,value,price
2010-09-01,37.74,14.0815,2.6862240399514246,-0.08606381857598677,29.913936181424013
2010-09-02,38.16,14.22,2.6864209171124713,-0.0409054413393477,29.959094558660652
2010-09-03,39.17,14.519,2.686960924511517,0.15801433701728484,30.158014337017285
2010-09-07,38.28,14.185,2.6878396986052695,0.15299387528425257,30.152993875284253
2010-09-08,39.12,14.33,2.689088091897482,0.5853676431090804,30.58536764310908
2010-09-09,40.1,14.51,2.6915606902994007,1.0454543837556969,31.045454383755697
2010-09-10,39.76,14.53,2.694673486522649,0.6063942408259066,30.606394240825907
2010-09-13,41.12,14.84,2.6970272515358937,1.0961155872073363,31.096115587207336
2010-09-14,40.72,14.71,2.7000575585401028,1.002153313875084,31.002153313875084
2010-09-15,40.98,14.76,2.702295142351134,1.0941236988972634,31.094123698897263
2010-09-16,40.99,14.715,2.70499421632619,1.186010106760115,31.186010106760115
2010-09-17,40.06,14.6105,2.707710317917429,0.49899840006740703,30.498998400067407
2010-09-20,41.19,14.885,2.7087730899288225,0.8699125564094743,30.869912556409474
2010-09-21,40.59,14.75,2.71048282519777,0.6103783283328994,30.6103783283329
2010-09-22,39.94,14.5095,2.711483709312409,0.5977271197316014,30.5977271197316
2010-09-23,39.1,14.23,2.713100529233518,0.4925794690070333,30.492579469007033
2010-09-24,39.7525,14.605,2.7146538297637597,0.10498081630028366,30.104980816300284
2010-09-27,39.08,14.445,2.7157606206043527,-0.1491621646298782,29.850837835370122
2010-09-28,38.95,14.48,2.7167707784146153,-0.38884087144362667,29.611159128556373
2010-09-29,38.41,14.37,2.717298553388171,-0.6375802121880128,29.362419787811987
2010-09-30,38.06,14.3445,2.7172455674510205,-0.9175290423011617,29.08247095769884
2010-10-01,38.81,14.5,2.7166836093975566,-0.5819123362645655,29.418087663735434
2010-10-04,38.95,14.4,2.7168287021866555,-0.17233331148784004,29.82766668851216
2010-10-05,39.64,14.73,2.717295670622852,-0.38576522827460735,29.614234771725393
2010-10-06,39.9,14.72,2.717180306395558,-0.09689411014262106,29.90310588985738
2010-10-07,39.52,14.66,2.7170402376769256,-0.3118098843437238,29.688190115656276
2010-10-08,39.31,14.7,2.7164440774137524,-0.6217279379821576,29.378272062017842
2010-10-11,39.73,14.68,2.715243091329446,-0.1297685807162665,29.870231419283733
2010-10-12,40.4,14.845,2.714367630456402,0.10521252587471253,30.105212525874713
2010-10-13,39.84,14.859,2.7136852117274586,-0.4826485610583049,29.517351438941695
2010-10-14,38.72,14.595,2.712075436585757,-0.8627409969691229,29.137259003030877
2010-10-15,37.15,14.345,2.7106804035454073,-1.734710388858872,28.265289611141128
2010-10-18,38.2,14.67,2.708480224297962,-1.5334048904511022,28.466595109548898
2010-10-19,37.69,14.4655,2.706221066722861,-1.456840840679547,28.543159159320453
2010-10-20,38.1,14.61,2.7040776714451353,-1.4065747798134254,28.593425220186575
2010-10-21,37.7,14.6055,2.7016380222125003,-1.7587741334246658,28.241225866575334
2010-10-22,37.7,14.6015,2.6987730762907787,-1.706135073459798,28.293864926540202
2010-10-25,37.07,14.55,2.696206051481843,-2.159798049060818,27.840201950939182
2010-10-26,37.2,14.57,2.692957522057483,-2.036391096377521,27.96360890362248
2010-10-27,37.54,14.58,2.6893296349382134,-1.6704260773991493,28.32957392260085
2010-10-28,37.51,14.575,2.6861974953759087,-1.6413284951038705,28.35867150489613
2010-10-29,37.63,14.559,2.6829774812705445,-1.4314691498178505,28.56853085018215
2010-11-01,37.42,14.56,2.679780980742205,-1.5976110796065015,28.4023889203935
2010-11-02,36.96,14.595,2.676917560090738,-2.1096117895243154,27.890388210475685
2010-11-03,37.72,14.74,2.674388349364867,-1.7004842696381388,28.29951573036186
2010-11-04,39.8,15.231,2.672634854323639,-0.9069014662033439,29.093098533796656
2010-11-05,40.94,15.58,2.6717625862810594,-0.6860610942589105,29.31393890574109
2010-11-08,40.51,15.4595,2.6707808014999928,-0.7789358007891423,29.221064199210858
2010-11-09,39.9,15.17,2.6699071834318056,-0.6024919726604949,29.397508027339505
2010-11-10,40.62,15.34,2.668921458721167,-0.32125517678269944,29.6787448232173
2010-11-11,40.02,15.19,2.6688204794629393,-0.5193830830420438,29.480616916957956
2010-11-12,39.61,14.94,2.668203845880051,-0.2529654574479636,29.747034542552036
2010-11-15,40.08,15.005,2.6678373311735912,0.049100845740262855,30.049100845740263
2010-11-16,39.61,14.755,2.667629711292347,0.24912360988141558,30.249123609881416
2010-11-17,39.18,14.6555,2.667673735286225,0.08390757251272873,30.08390757251273
2010-11-18,39.66,14.86,2.6675903594000947,0.019607259314589953,30.01960725931459
2010-11-19,39.41,14.8545,2.6675239915754436,-0.2147351328574274,29.785264867142573
2010-11-22,38.51,14.64,2.667507427833076,-0.5423087434762408,29.45769125652376
2010-11-23,37.63,14.41,2.6669164475180227,-0.8002660087347024,29.199733991265298
2010-11-24,38.16,14.63,2.666014421436505,-0.8437909856160744,29.156209014383926
2010-11-26,37.59,14.42,2.664823883944766,-0.8367604064835206,29.16323959351648
2010-11-29,37.91,14.54,2.66365563916901,-0.8195529935174051,29.180447006482595
2010-11-30,37.4,14.46,2.6624232445313933,-1.0986401159239492,28.90135988407605
2010-12-01,38.15,14.7525,2.6606172369587404,-1.100755788233819,28.89924421176618
2010-12-02,39.31,15.13,2.658772311112514,-0.9172250671323354,29.082774932867665
2010-12-03,39.61,15.1805,2.6565757412858937,-0.7181480405905134,29.281851959409487
2010-12-06,39.905,15.155,2.654001812958668,-0.3163974753886123,29.683602524611388
2010-12-07,39.25,15.18,2.652295907434413,-1.0118518748543863,28.988148125145614
2010-12-08,40.26,15.425,2.64911011767828,-0.6025235651874681,29.397476434812532
2010-12-09,40.81,15.615,2.646421688343829,-0.5138746634888918,29.48612533651111
2010-12-10,41.43,15.7545,2.6436401817870196,-0.21922924396360344,29.780770756036397
2010-12-13,41.51,15.7445,2.6410299084763933,-0.07169539400657499,29.928304605993425
2010-12-14,40.79,15.605,2.639304990259147,-0.3963543729939971,29.603645627006003
2010-12-15,40.21,15.48,2.636680492012148,-0.6058140163480488,29.39418598365195
2010-12-16,40.0125,15.5,2.634067039475263,-0.8155391118665705,29.18446088813343
2010-12-17,39.67,15.53,2.631219133501046,-1.192833143271244,28.807166856728756
2010-12-20,39.95,15.54,2.6280396011639535,-0.8897354020878296,29.11026459791217
2010-12-21,41.0,15.81,2.6254905682401133,-0.509005883876192,29.490994116123808
2010-12-22,42.16,15.985,2.623633389812213,0.22122026385176952,30.22122026385177
2010-12-23,42.08,15.87,2.622857874624296,0.45524552971242827,30.45524552971243
2010-12-27,42.67,16.01,2.622625524371513,0.6817653548120717,30.68176535481207
2010-12-28,42.61,16.012,2.6229678875008973,0.6110381853356301,30.61103818533563
2010-12-29,42.36,15.98,2.622858128875964,0.44672710056209297,30.446727100562093
2010-12-30,42.23,15.93,2.622130099812526,0.45946750998646024,30.45946750998646
2010-12-31,42.42,15.95,2.621567331821067,0.6060010574539874,30.606001057453987
2011-01-03,43.58,16.3,2.6208609110020573,0.8599671506664635,30.859967150666463
2011-01-04,44.16,16.275,2.620708687159526,1.5079661164787126,31.507966116478713
2011-01-05,44.7,16.47,2.621655435719099,1.5213349737064448,31.521334973706445
2011-01-06,44.48,16.362,2.6221483725722035,1.5764083279736099,31.57640832797361
2011-01-07,43.64,16.215,2.622431028521042,1.1172808725313033,31.117280872531303
2011-01-10,43.4,16.1745,2.6228016348976073,0.9774949563486501,30.97749495634865
2011-01-11,43.6,16.24,2.6234759477562917,0.9947506084378261,30.994750608437826
2011-01-12,44.71,16.513,2.625128285379227,1.3612566235328174,31.361256623532817
2011-01-13,44.45,16.4555,2.6270546757317805,1.2205017834956848,31.220501783495685
2011-01-14,44.91,16.72,2.6287993333502913,0.9564751463831271,30.956475146383127
2011-01-18,44.75,16.62,2.6302450468715652,1.0353273209945826,31.035327320994583
2011-01-19,43.71,16.25,2.6321899162550264,0.9369138608558245,30.936913860855825
2011-01-20,44.75,16.33,2.6340070829628646,1.7366643352164246,31.736664335216425
2011-01-21,45.29,16.4615,2.637260060958899,1.8767435065250808,31.87674350652508
2011-01-24,45.02,16.4435,2.6406473368351246,1.5985155167516325,31.598515516751633
2011-01-25,44.87,16.41,2.6434362205946416,1.4912116200419305,31.49121162004193
2011-01-26,44.98,16.395,2.646146469139176,1.596428638463209,31.59642863846321
2011-01-27,45.1,16.5385,2.6488391342822206,1.2921739776734995,31.2921739776735
2011-01-28,44.54,16.25,2.651442849623573,1.4540536936169346,31.454053693616935
2011-01-31,44.94,16.4,2.6547816658282337,1.40158068041697,31.40158068041697
2011-02-01,45.93,16.74,2.657755586252626,1.4391714861310447,31.439171486131045
2011-02-02,45.45,16.61,2.660087698136917,1.2659433339458133,31.265943333945813
2011-02-03,45.46,16.615,2.662038348426375,1.2302328408957806,31.23023284089578
2011-02-04,44.59,16.6075,2.664085898791296,0.346193435823551,30.34619343582355
2011-02-07,45.5,16.85,2.664995924890135,0.594818665601224,30.594818665601224
2011-02-08,45.74,16.97,2.6659349519673166,0.49908386511464187,30.499083865114642
2011-02-09,45.11,16.851,2.666981502672389,0.16869469846757568,30.168694698467576
2011-02-10,45.53,16.85,2.667403210126825,0.5842559093629944,30.584255909362994
2011-02-11,46.57,17.081,2.66799933721936,0.9979033209561123,30.997903320956112
2011-02-14,46.54,17.09,2.668884857324734,0.92875778832029,30.92875778832029
2011-02-15,46.82,17.0675,2.669861077290042,1.252146063352214,31.252146063352214
2011-02-16,47.94,17.16,2.671268256493992,2.101036718563101,32.1010367185631
2011-02-17,47.82,17.14,2.67386846629774,1.9898944876567342,31.989894487656734
2011-02-18,48.0,17.1785,2.6766709527330073,2.0188080384760383,32.01880803847604
2011-02-22,46.01,16.6525,2.6797676398531602,1.3851693773452496,31.38516937734525
2011-02-23,45.96,16.58,2.6822199394562345,1.4887934038156345,31.488793403815635
2011-02-24,45.91,16.54,2.6847899200773586,1.5035747219204865,31.503574721920486
2011-02-25,46.68,16.771,2.6874059488189697,1.609514832357057,31.609514832357057
2011-02-28,46.69,16.85,2.690442445349145,1.3560447958669002,31.3560447958669
2011-03-01,45.6,16.49,2.6933076339385433,1.1873571163534251,31.187357116353425
2011-03-02,45.21,16.39,2.695900759910881,1.0241865450606653,31.024186545060665
2011-03-03,46.08,16.725,2.698199232800298,0.9526178314150116,30.95261783141501
2011-03-04,45.52,16.52,2.700124424855482,0.9139445013874408,30.91394450138744
2011-03-07,45.19,16.41,2.702703727849661,0.8386318259870578,30.838631825987058
2011-03-08,46.4,16.77,2.7049259931854897,1.0383910942793406,31.03839109427934
2011-03-09,46.56,16.7665,2.707384314892717,1.16664088435126,31.16664088435126
2011-03-10,45.53,16.43,2.7097840590333133,1.008247910082666,31.008247910082666
2011-03-11,45.74,16.54,2.711927648684806,0.884716690753315,30.884716690753315
2011-03-14,45.3,16.39,2.7142991924594826,0.8126362355890748,30.812636235589075
2011-03-15,44.61,16.2,2.7168382809782363,0.5972198481525695,30.59721984815257
2011-03-16,43.81,15.8995,2.7194294585974994,0.5724313230290576,30.572431323029058
2011-03-17,44.56,16.09,2.7224298218312017,0.756104166735966,30.756104166735966
2011-03-18,45.74,16.27,2.7254199947123774,1.3974166860296222,31.397416686029622
2011-03-21,45.63,16.345,2.7288345625452397,1.0271990751980624,31.027199075198062
2011-03-22,45.47,16.259,2.731290458347491,1.061948437728141,31.06194843772814
2011-03-23,45.6,16.215,2.733574284843852,1.2750929712569388,31.27509297125694
2011-03-24,45.73,16.295,2.7359090192071855,1.1483625320189006,31.1483625320189
2011-03-25,45.86,16.34,2.7382232668799626,1.1174318191814123,31.117431819181412
2011-03-28,45.96,16.2855,2.740700374295024,1.3263240544183859,31.326324054418386
2011-03-29,46.02,16.32,2.7434069224937527,1.2475990249019588,31.24759902490196
2011-03-30,46.45,16.45,2.74594825447056,1.2791512139592953,31.279151213959295
2011-03-31,46.1,16.39,2.7484015407909523,1.0536987464362895,31.05369874643629
2011-04-01,46.35,16.53,2.7500191048327483,0.8921841971146662,30.892184197114666
2011-04-04,46.34,16.5065,2.751512251157061,0.9221630262759817,30.92216302627598
2011-04-05,46.58,16.5,2.7529775420530767,1.1558705561242348,31.155870556124235
2011-04-06,47.64,16.69,2.755124781224507,1.6569674013629694,31.65696740136297
2011-04-07,47.4,16.61,2.7579497311572503,1.5904549654780737,31.590454965478074
2011-04-08,46.84,16.46,2.760728033677127,1.3984165656744878,31.398416565674488
2011-04-11,46.86,16.46,2.7630075386710584,1.380895913474376,31.380895913474376
2011-04-12,46.64,16.4,2.765405183879789,1.2873549843714613,31.28735498437146
2011-04-13,46.25,16.2775,2.76803847836131,1.1932536684737798,31.19325366847378
2011-04-14,44.97,16.13,2.7704891187342655,0.28201051481629946,30.2820105148163
2011-04-15,44.89,16.14,2.772061899115738,0.14892094827198576,30.148920948271986
2011-04-18,43.96,15.92,2.7727229867620324,-0.18174994925155374,29.818250050748446
2011-04-19,44.6501,15.97,2.7729009723286793,0.36687147191099,30.36687147191099
2011-04-20,44.56,16.01,2.773836363688284,0.150879817350571,30.15087981735057
2011-04-21,44.68,16.1,2.774633688791681,0.008397610453926063,30.008397610453926
2011-04-25,44.61,16.08,2.7751528401102883,-0.014457668973435034,29.985542331026565
2011-04-26,45.12,16.18,2.7759444199127237,0.20521928581212734,30.205219285812127
2011-04-27,45.5,16.28,2.7767129819882443,0.2951126532313779,30.295112653231378
2011-04-28,45.85,16.41,2.7776068052001164,0.2694723266660901,30.26947232666609
2011-04-29,45.63,16.38,2.77845855193471,0.11884891930945685,30.118848919309457
2011-05-02,45.18,16.31,2.779289940658783,-0.15021893214475313,29.849781067855247
2011-05-03,45.92,16.38,2.779870675930742,0.3857183282544554,30.385718328254455
2011-05-04,45.5,16.24,2.781863148361233,0.3225424706135769,30.322542470613577
2011-05-05,45.17,16.03,2.783606044015042,0.5487951144388745,30.548795114438875
2011-05-06,45.04,16.11,2.7857100439860907,0.16221119138408113,30.16221119138408
2011-05-09,44.96,16.07,2.7877722195239625,0.1605004322499255,30.160500432249925
2011-05-10,45.16,16.22,2.7894321352526315,-0.08458923379767924,29.91541076620232
2011-05-11,44.23,16.0,2.790483367002048,-0.4177338720327697,29.58226612796723
2011-05-12,44.09,16.0,2.7912859242855075,-0.5705747885681163,29.429425211431884
2011-05-13,43.15,15.77,2.7915882404102987,-0.8733465512704086,29.12665344872959
2011-05-16,42.88,15.75,2.7906921555144764,-1.0734014493529997,28.926598550647
2011-05-17,43.81,15.87,2.789650188897896,-0.4617484978096016,29.5382515021904
2011-05-18,44.08,15.94,2.7891076696063735,-0.37837625352559456,29.621623746474405
2011-05-19,44.0,15.94,2.7891843146075215,-0.45959797484388787,29.540402025156112
2011-05-20,43.13,15.72,2.789020749180081,-0.7134061771108691,29.28659382288913
2011-05-23,42.55,15.5,2.788544885746037,-0.6724457290635755,29.327554270936425
2011-05-24,42.34,15.48,2.787979561208985,-0.817923607515084,29.182076392484916
2011-05-25,42.27,15.49,2.787485421583881,-0.9081491803343127,29.091850819665687
2011-05-26,42.45,15.57,2.7869763420264126,-0.9432216453512439,29.056778354648756
2011-05-27,42.79,15.68,2.786531845793488,-0.9028193420418873,29.097180657958113
2011-05-31,43.24,15.84,2.7861898132722347,-0.8932466422321923,29.106753357767808
2011-06-01,41.76,15.305,2.7858231464725107,-0.8770232567617811,29.12297674323822
2011-06-02,41.61,15.32,2.78551675799666,-1.064116732508829,28.93588326749117
2011-06-03,41.57,15.22,2.784809495057184,-0.8148005147703401,29.18519948522966
2011-06-06,40.53,14.93,2.7841548770883455,-1.0374323149289992,28.962567685071
2011-06-07,40.72,14.895,2.783383521117536,-0.7384975470456965,29.261502452954304
2011-06-08,40.39,14.76,2.7829903738442914,-0.6869379179417407,29.31306208205826
2011-06-09,40.98,14.93,2.782665889093814,-0.5652017241706417,29.43479827582936
2011-06-10,41.05,14.83,2.782611451634588,-0.21612782774094796,29.783872172259052
2011-06-13,41.67,14.98,2.782850182271864,-0.01709573043252277,29.982904269567477
2011-06-14,41.605,15.055,2.783060390460762,-0.29397417838676887,29.70602582161323
2011-06-15,40.68,14.73,2.7822814371642957,-0.30300556943007706,29.696994430569923
2011-06-16,40.36,14.81,2.781823563698301,-0.8388069783718421,29.161193021628158
2011-06-17,40.8,14.891,2.780748236183113,-0.6081219850027395,29.39187801499726
2011-06-20,40.48,14.88,2.779604112527744,-0.8805091944128378,29.119490805587162
2011-06-21,40.91,15.09,2.778265639234774,-1.0140284960527453,28.985971503947255
2011-06-22,40.69,15.0,2.776747262516212,-0.9612089377431872,29.038791062256813
2011-06-23,40.07,14.85,2.7749859413019364,-1.1385412283337573,28.861458771666243
2011-06-24,39.49,14.76,2.7730589979785534,-1.4403508101634444,28.559649189836556
2011-06-27,39.88,14.91,2.7707159376108055,-1.4313746297771104,28.56862537022289
2011-06-28,39.54,14.98,2.7685234009656763,-1.9324805464658326,28.067519453534167
2011-06-29,40.45,15.29,2.7659174673808,-1.840878076252423,28.159121923747577
2011-06-30,40.94,15.35,2.763250383053024,-1.475893379863919,28.52410662013608
2011-07-01,41.58,15.63,2.7606115017043056,-1.568357771638297,28.431642228361703
2011-07-05,41.03,15.49,2.757170878264676,-1.6785769043198329,28.321423095680167
