date,PHM,XHB,beta,value,price
2018-05-21,29.9,39.83,0.7355575696081995,0.602742002505412,30.602742002505412
2018-05-22,29.48,39.04,0.7366622336519378,0.7207063982283479,30.720706398228348
2018-05-23,30.01,39.52,0.7377887146924815,0.852589995353128,30.852589995353128
2018-05-24,30.12,39.5,0.7390350786207474,0.928114394480481,30.92811439448048
2018-05-25,30.47,39.87,0.7402004986081918,0.9582061204913934,30.958206120491393
2018-05-29,30.68,39.88,0.7410062443908572,1.1286709736926142,31.128670973692614
2018-05-30,30.25,39.92,0.7418353153632553,0.6359342106988457,30.635934210698846
2018-05-31,30.25,39.28,0.7424667302211072,1.0859068369149085,31.08590683691491
2018-06-01,30.36,39.38,0.7432516956798245,1.0907482241285074,31.090748224128507
2018-06-04,30.37,39.85,0.7441219925354748,0.7167385974613261,30.716738597461326
2018-06-05,30.72,40.11,0.7449023100554842,0.8419683436745267,30.841968343674527
2018-06-06,31.15,40.36,0.745807831254254,1.049195930578307,31.049195930578307
2018-06-07,31.35,40.56,0.7467760885899226,1.0607618467927402,31.06076184679274
2018-06-08,32.56,41.33,0.7476838597770119,1.6582260754161027,31.658226075416103
2018-06-11,32.26,41.39,0.7490951009123805,1.2549537732365685,31.25495377323657
2018-06-12,32.98,41.88,0.7504863066225169,1.5496334786489854,31.549633478648985
2018-06-13,30.78,40.86,0.7519353605371264,0.05592116845301831,30.05592116845302
2018-06-14,30.8,41.0,0.752753707285841,-0.06290199871948232,29.937098001280518
2018-06-15,30.37,40.88,0.7535470757428967,-0.4350044563696187,29.56499554363038
2018-06-18,29.62,40.51,0.7541502295744789,-0.9306258000621348,29.069374199937865
2018-06-19,29.43,40.42,0.7544381375215002,-1.0643895186190413,28.93561048138096
2018-06-20,29.38,40.5,0.7545898789453284,-1.1808900972858005,28.8191099027142
2018-06-21,29.17,40.09,0.7548226044125254,-1.0908382108981414,28.90916178910186
2018-06-22,28.78,39.85,0.754869558889213,-1.3015519217351397,28.69844807826486
2018-06-25,28.24,39.36,0.7548692008707882,-1.471651746274226,28.528348253725774
2018-06-26,28.61,39.67,0.7548186715333444,-1.3336566997277721,28.666343300272228
2018-06-27,28.17,39.23,0.7547799830115052,-1.4400187335413435,28.559981266458657
