date,PTEN,XES,beta,value,price
2021-03-05,9.31,64.559998,0.12161116622623684,1.458783351656483,31.458783351656482
2021-03-08,9.65,65.949997,0.12230039897037277,1.5842890548051134,31.58428905480511
2021-03-09,9.095,62.800004,0.12303741239417454,1.3682500094961902,31.36825000949619
2021-03-10,9.55,65.729996,0.1236916077075719,1.4197511201477315,31.41975112014773
2021-03-11,9.42,64.800004,0.12434881533066375,1.362196269177728,31.36219626917773
2021-03-12,9.0,64.149994,0.12496522823030569,0.983481358817258,30.983481358817258
2021-03-15,8.97,63.100007,0.12542086583574963,1.0559424878181387,31.05594248781814
2021-03-16,8.47,60.130005,0.1258839412556653,0.9005979828771409,30.90059798287714
2021-03-17,8.64,60.660004,0.1262892633699437,0.9792927788221624,30.979292778822163
2021-03-18,7.78,57.029999,0.12667732389323036,0.5555923450463975,30.5555923450464
2021-03-19,7.95,57.149994,0.12694986822581053,0.6948157925941381,30.694815792594138
2021-03-22,7.58,55.199997,0.1272437271823166,0.5561466412673042,30.556146641267304
2021-03-23,7.02,51.800004,0.12751166786853493,0.41489509436321814,30.414895094363217
2021-03-24,6.98,52.25,0.12773793168617315,0.3056930693974538,30.305693069397453
2021-03-25,7.4,53.210007,0.12794532190745705,0.5920285256869571,30.592028525686956
2021-03-26,7.47,54.720002,0.12823714581815984,0.45286312435600173,30.452863124356
2021-03-29,7.115,52.630005,0.12849153705865207,0.35248976214545635,30.352489762145456
2021-03-30,7.16,52.64,0.12869615556387162,0.3854343711177979,30.385434371117796
2021-03-31,7.13,53.240006,0.12893328714348562,0.2655910188811026,30.265591018881103
2021-04-01,7.35,55.080002,0.12912304759802723,0.23790228005456449,30.237902280054563
2021-04-05,6.95,53.330002,0.12925968031058158,0.05658099051732446,30.056580990517325
2021-04-06,6.97,52.869996,0.1293672762524975,0.13035262199956232,30.130352621999563
2021-04-07,7.12,52.960007,0.12951276610143686,0.2610030006785413,30.261003000678542
2021-04-08,7.05,52.320008,0.12971238546394592,0.2634469548272653,30.263446954827266
2021-04-09,6.85,51.070008,0.1299345249626568,0.21424277068091602,30.214242770680915
2021-04-12,6.82,50.699997,0.13013620947523932,0.22209457001399446,30.222094570013994
2021-04-13,6.76,50.130005,0.13034540338192596,0.22578427673703505,30.225784276737034
2021-04-14,7.145,53.0,0.13050895230530182,0.22802552781900332,30.228025527819003
2021-04-15,6.9,51.779999,0.13066448917599457,0.13419288113149097,30.13419288113149
2021-04-16,6.77,50.979996,0.13079875802904556,0.10187983887428942,30.10187983887429
2021-04-19,6.72,50.699997,0.13088684681611643,0.08403725908343684,30.084037259083438
2021-04-20,6.35,47.919999,0.13106558838818752,0.06933713550364207,30.06933713550364
2021-04-21,6.43,48.800004,0.13120905269530733,0.02699770363279086,30.02699770363279
2021-04-22,6.24,48.270005,0.13128291313581014,-0.09702687348012073,29.90297312651988
2021-04-23,6.315,48.919999,0.13139459492828806,-0.11282345249725623,29.887176547502744
2021-04-26,6.42,49.979996,0.1314474267803303,-0.14974186469120188,29.8502581353088
2021-04-27,6.37,49.539994,0.13147256022987316,-0.14314984495255523,29.856850155047447
2021-04-28,6.81,52.89,0.13148700745105793,-0.14434782408645397,29.855652175913548
2021-04-29,7.035,53.110001,0.1314714168132339,0.05255292157773095,30.052552921577732
2021-04-30,6.76,50.509995,0.13151321501249627,0.11726816728488743,30.117268167284887
2021-05-03,7.39,52.589997,0.1315658228595454,0.4709537705139759,30.470953770513976
2021-05-04,7.56,52.929993,0.13195209183551707,0.5757767028107237,30.575776702810725
2021-05-05,8.08,56.080002,0.13233019668925666,0.6589223050060928,30.658922305006094
2021-05-06,8.01,56.660004,0.13277057545264798,0.4872186637706637,30.487218663770662
2021-05-07,8.56,59.729996,0.13317536366568425,0.6054360609501348,30.605436060950133
2021-05-10,8.32,57.880005,0.13365512037450197,0.5840409644482243,30.584040964448224
2021-05-11,8.24,57.850007,0.13411829983373666,0.481255415790236,30.481255415790237
2021-05-12,8.26,57.729996,0.13452948804090165,0.4936131935167003,30.4936131935167
2021-05-13,8.05,57.210007,0.13500522005611884,0.326350415552902,30.326350415552902
2021-05-14,8.52,59.479996,0.13545584060975535,0.46308714235511417,30.463087142355114
2021-05-17,8.98,61.210007,0.1359112207744632,0.6608732250165641,30.660873225016566
2021-05-18,8.62,59.64,0.13645003732862246,0.4821197737209548,30.482119773720953
2021-05-19,8.28,57.839997,0.13682963275783175,0.36577445177591006,30.36577445177591
2021-05-20,8.26,57.550004,0.13716492925472912,0.366157772730622,30.366157772730624
2021-05-21,8.4,58.380005,0.13746474639496567,0.37480741813817353,30.374807418138175
2021-05-24,8.41,58.490006,0.13774146761584172,0.35350073270061166,30.35350073270061
2021-05-25,8.03,56.850007,0.13801982613187846,0.18357191826392594,30.183571918263926
2021-05-26,8.31,58.070008,0.13823006568058963,0.2829789800876359,30.282978980087634
2021-05-27,8.55,59.330002,0.13849048950328455,0.33335898078914994,30.33335898078915
2021-05-28,8.37,58.660004,0.13880001915398021,0.227990321227443,30.227990321227445
2021-06-01,8.92,61.429993,0.13898124248797847,0.3823832468321804,30.38238324683218
2021-06-02,9.89,66.669999,0.13899038538388914,0.6235111454464963,30.623511145446496
2021-06-03,10.12,67.229996,0.1390421265564832,0.7721983877761396,30.77219838777614
2021-06-04,10.44,67.929993,0.1391972868644137,0.9843292776813843,30.984329277681383
2021-06-07,10.2,66.220002,0.13941302245652223,0.9680693741030524,30.968069374103052
2021-06-08,10.72,66.220002,0.13962085644612413,1.474306606895949,31.47430660689595
2021-06-09,10.54,65.309998,0.14012442422189855,1.3884741343166542,31.388474134316652
2021-06-10,10.37,64.770005,0.14056227260514267,1.2657809005535459,31.265780900553544
2021-06-11,10.4,65.5,0.14098983679628005,1.1651656898436578,31.165165689843658
2021-06-14,10.28,64.5,0.14136389606606198,1.1620287037390025,31.162028703739004
2021-06-15,10.55,66.809998,0.14184116333322555,1.073592161389529,31.073592161389527
2021-06-16,10.58,66.990006,0.14226138453039588,1.0499089967404736,31.049908996740474
2021-06-17,10.03,63.199997,0.14270298070699503,1.0111720474268555,31.011172047426854
2021-06-18,9.79,61.759995,0.14313021527384634,0.9502786203383256,30.950278620338324
2021-06-21,10.38,65.130005,0.14356306340201008,1.0297369628117679,31.029736962811768
2021-06-22,10.35,64.919999,0.14396768511785396,1.0036180261166052,31.003618026116605
2021-06-23,10.65,64.839997,0.14440858963254768,1.286547481451377,31.28654748145138
2021-06-24,10.97,66.009995,0.14495382462963835,1.4015987609666958,31.401598760966696
