date,MSFT,XLK,beta,value,price
2013-07-24,31.96,31.62,1.0902018001801939,-2.512180921697727,27.487819078302273
2013-07-25,31.39,31.64,1.0891753181501838,-3.0715070662718134,26.928492933728187
2013-07-26,31.62,31.73,1.0877702788407966,-2.8949509476184723,27.105049052381528
2013-07-29,31.54,31.68,1.0864766522165463,-2.879580342220187,27.120419657779813
2013-07-30,31.85,31.84,1.0851689048748123,-2.701777931214025,27.298222068785975
2013-07-31,31.84,31.73,1.0839222723210615,-2.5528537007472814,27.44714629925272
2013-08-01,31.67,32.07,1.08268963203684,-3.0518564994214543,26.948143500578546
2013-08-02,31.89,32.21,1.0813744659145008,-2.9410715471060698,27.05892845289393
2013-08-05,31.7,32.28,1.080406257002798,-3.175513976050322,26.824486023949678
2013-08-06,31.58,32.11,1.0794135537126575,-3.0799692097134326,26.920030790286567
2013-08-07,32.063,32.03,1.0785028439179825,-2.4814460906929767,27.518553909307023
2013-08-08,32.89,32.135,1.0776757272181279,-1.7411094941545358,28.258890505845464
2013-08-09,32.7,31.97,1.0770230470646027,-1.7324268146553479,28.267573185344652
2013-08-12,32.87,32.18,1.0762600517922905,-1.7640484666759093,28.23595153332409
2013-08-13,32.23,32.4,1.0754344712123998,-2.614076867281753,27.385923132718247
2013-08-14,32.35,32.37,1.0738895729212354,-2.4118054754603904,27.58819452453961
2013-08-15,31.79,31.85,1.072315924511848,-2.3632621957023616,27.63673780429764
2013-08-16,31.8,31.815,1.0708281609718018,-2.2683979413178754,27.731602058682125
2013-08-19,31.393,31.72,1.069297973689561,-2.525131725432871,27.47486827456713
2013-08-20,31.62,31.77,1.067847911691988,-2.3055281544544535,27.694471845545547
2013-08-21,31.61,31.7,1.066396960601996,-2.194783651083277,27.805216348916723
2013-08-22,32.39,31.84,1.0646671344619378,-1.5090015612681,28.4909984387319
2013-08-23,34.75,32.07,1.063298473717323,0.650017947885452,30.650017947885452
2013-08-26,34.15,31.92,1.063087698647177,0.21624065918211244,30.216240659182112
2013-08-27,33.26,31.36,1.062545855051556,-0.06143801441680097,29.9385619855832
2013-08-28,33.02,31.38,1.0615672520633104,-0.29198036974667474,29.708019630253325
2013-08-29,33.55,31.55,1.0606941010983122,0.08510111034824774,30.085101110348248
