date,MAS,XHB,beta,value,price
2011-01-28,13.29,17.81,0.7336565699279626,0.22357648958298704,30.22357648958299
2011-01-31,13.32,17.69,0.7346876379780968,0.323375684167468,30.323375684167466
2011-02-01,13.93,18.0,0.7358137109840689,0.685353202286759,30.68535320228676
2011-02-02,13.66,17.76,0.7372938543324703,0.5656611470553266,30.565661147055327
2011-02-03,13.74,17.6825,0.7385519460340856,0.6805552142522817,30.68055521425228
2011-02-04,14.02,17.7375,0.7398802401133069,0.8963742409902178,30.89637424099022
2011-02-07,14.37,18.0175,0.7412881676041797,1.013840440191693,31.013840440191693
2011-02-08,14.76,18.355,0.742873205084348,1.1245623206767927,31.124562320676795
2011-02-09,14.77,18.48,0.7448777314696836,1.004659522440246,31.004659522440246
2011-02-10,14.53,18.42,0.7465384856137384,0.7787610949949375,30.778761094994938
2011-02-11,14.17,18.47,0.7478811531130115,0.356635102002679,30.356635102002677
2011-02-14,14.19,18.35,0.7487351614740992,0.4507097869502772,30.450709786950277
2011-02-15,12.88,18.12,0.7498114946106655,-0.7065842823452595,29.29341571765474
2011-02-16,12.82,18.46,0.7496716244232378,-1.018938186852969,28.98106181314703
2011-02-17,13.2,18.73,0.7491838342867588,-0.8322132161909934,29.167786783809007
2011-02-18,13.3,18.6825,0.7489534917748091,-0.6923236100828714,29.307676389917127
2011-02-22,13.06,17.9,0.7489069387762337,-0.34543420409458214,29.65456579590542
2011-02-23,12.72,17.6,0.7493361634521521,-0.46831647675787735,29.531683523242123
2011-02-24,12.74,17.57,0.7496981897911387,-0.4321971946303069,29.567802805369695
2011-02-25,13.19,17.9,0.749958437473597,-0.23425603077738621,29.765743969222612
2011-02-28,13.59,17.85,0.750416837373653,0.1950594528802938,30.195059452880294
2011-03-01,13.08,17.33,0.7510108403628438,0.06498213651191875,30.06498213651192
2011-03-02,13.18,17.5375,0.7515062470312927,0.0004591926887034248,30.0004591926887
2011-03-03,13.28,17.9025,0.7520710205252149,-0.18395144495266003,29.816048555047338
2011-03-04,13.31,17.74,0.7525323250460332,-0.039923446316626254,29.960076553683372
2011-03-07,13.41,17.51,0.752816524350252,0.22818265862708564,30.228182658627084
2011-03-08,13.81,18.1275,0.7527302275511116,0.16488280006722356,30.164882800067225
2011-03-09,14.01,18.25,0.7524861794020693,0.2771272259122348,30.277127225912235
2011-03-10,13.6,17.75,0.7521894786154755,0.2486367545753101,30.24863675457531
2011-03-11,13.87,17.87,0.7521591220816238,0.42891648840138075,30.42891648840138
2011-03-14,13.64,17.6,0.7524296772143905,0.3972376810267271,30.397237681026727
2011-03-15,13.69,17.94,0.7527117287164461,0.18635158682695518,30.186351586826955
2011-03-16,13.66,17.535,0.7527460136993318,0.46059864978221654,30.460598649782217
2011-03-17,13.61,17.6,0.7530061341884421,0.35709203828341707,30.35709203828342
2011-03-18,13.95,17.78,0.7533990642501162,0.5545646376329323,30.554564637632932
2011-03-21,14.28,18.0525,0.7540680936193025,0.6671857399375423,30.667185739937544
2011-03-22,13.96,17.89,0.7549812213547865,0.45338594996287007,30.453385949962872
2011-03-23,14.13,17.99,0.7557592606783441,0.5338909003965924,30.533890900396592
2011-03-24,14.15,18.13,0.7567336864907027,0.43041826392356164,30.430418263923563
2011-03-25,14.17,18.25,0.7575459882910989,0.34478571368744504,30.344785713687443
2011-03-28,13.91,18.14,0.7583115068288604,0.15422926612447263,30.154229266124474
2011-03-29,13.81,18.16,0.7588059303296995,0.030084305212659146,30.03008430521266
2011-03-30,14.06,18.23,0.7593157567083186,0.21767375520735222,30.21767375520735
2011-03-31,13.92,18.21,0.7598414899173447,0.08328646860515221,30.083286468605152
2011-04-01,14.12,18.35,0.7602021560113654,0.17029043719144177,30.17029043719144
2011-04-04,14.02,18.22,0.7605591283868043,0.1626126807924262,30.162612680792428
