date,WY,IYR,beta,value,price
2013-06-25,27.51999,65.19,0.42809567814621513,-0.387567258351762,29.612432741648238
2013-06-26,27.729996,65.55,0.42766805564725907,-0.30364504767783274,29.696354952322167
2013-06-27,28.199997,66.72,0.42720486414596026,-0.30311153581846995,29.69688846418153
2013-06-28,28.489991,66.43,0.42699353025418174,0.12481078521470224,30.124810785214702
2013-07-01,28.099991,66.08,0.4267621237371292,-0.10045013654949742,29.899549863450503
2013-07-02,28.539994,66.85,0.426509179965182,0.027855319327585448,30.027855319327585
2013-07-03,28.459992,66.56,0.42626849032211006,0.0875612841603548,30.087561284160355
2013-07-05,28.309998,65.86,0.4260895768691629,0.24773846739693184,30.247738467396932
2013-07-08,28.37999,66.12,0.4258974739112483,0.21964902498825722,30.219649024988257
2013-07-09,28.729996,66.96,0.4257110142242645,0.22438648754325285,30.224386487543253
2013-07-10,28.739991,66.96,0.4255477364981211,0.2453145640858132,30.245314564085813
2013-07-11,29.349991,68.81,0.42553255559436276,0.0690958495518963,30.069095849551896
2013-07-12,29.549988,68.36,0.42554866647734674,0.4594811596085755,30.459481159608575
2013-07-15,29.359986,68.61,0.42577339106536244,0.14767363900548247,30.147673639005482
2013-07-16,29.359986,68.5,0.4260385032244282,0.17634852912666688,30.176348529126667
2013-07-17,29.26999,68.86,0.4262689154846233,-0.08288752027116075,29.91711247972884
2013-07-18,29.599991,69.29,0.4264024326835621,0.05456643935598038,30.05456643935598
2013-07-19,29.859986,69.22,0.42644321192074763,0.34158687084584827,30.34158687084585
2013-07-22,29.5,69.42,0.42641337889763686,-0.1016167630739524,29.898383236926048
2013-07-23,29.329987,69.39,0.4262760250267277,-0.24930637660463617,29.750693623395364
2013-07-24,28.859986,68.04,0.42627682377032045,-0.1438890893326068,29.856110910667393
2013-07-25,29.14,67.96,0.42638847037403127,0.16263955338083846,30.16263955338084
2013-07-26,28.799988,68.14,0.42663194678766503,-0.2707128541114976,29.729287145888502
2013-07-29,27.989991,67.6,0.4268167609533898,-0.8628220404491458,29.137177959550854
2013-07-30,28.219986,67.52,0.4268709010922016,-0.6023372417454524,29.397662758254548
2013-07-31,28.399994,66.59,0.42689246574972606,-0.026775294274258954,29.97322470572574
2013-08-01,28.309998,66.22,0.4269823289591923,0.03522817632228481,30.035228176322285
2013-08-02,27.979996,65.93,0.427048740044195,-0.17532743111378224,29.824672568886218
2013-08-05,28.159989,65.89,0.4271011308652982,0.018295487285499235,30.0182954872855
2013-08-06,28.179993,65.66,0.4270322111452411,0.1410580162034698,30.14105801620347
2013-08-07,27.599991,65.39,0.4271020616852503,-0.3282128135985154,29.671787186401485
2013-08-08,27.319993,65.45,0.42720553333469746,-0.64060915675595,29.35939084324405
2013-08-09,27.809998,66.07,0.4269229683483787,-0.39680251877737405,29.603197481222626
2013-08-12,27.319993,65.53,0.426740132694886,-0.6442878954958786,29.35571210450412
2013-08-13,26.989991,64.63,0.4265701363254816,-0.5792369107158741,29.420763089284126
2013-08-14,27.789994,64.49,0.4263286916903097,0.2960566728919325,30.296056672891932
2013-08-15,27.169999,63.27,0.42631216094205737,0.1972285771960287,30.19722857719603
2013-08-16,27.059998,61.81,0.42624821606100266,0.7135957652694245,30.713595765269424
2013-08-19,26.649994,60.97,0.426158787098867,0.6670927505820785,30.66709275058208
2013-08-20,27.349991,62.4,0.4260151134810037,0.7666479187853703,30.76664791878537
2013-08-21,27.319993,62.27,0.42594711091772336,0.7962664031533642,30.796266403153364
2013-08-22,27.479996,62.62,0.4257881948272988,0.8171392399145496,30.81713923991455
2013-08-23,27.809998,63.35,0.4258128155330029,0.8347561359842679,30.834756135984268
2013-08-26,27.959992,63.11,0.4259991661239571,1.0751846259170676,31.075184625917068
2013-08-27,27.329987,62.92,0.42611065357532485,0.5191046770405592,30.51910467704056
2013-08-28,27.659989,62.62,0.42604708682876447,0.9809204227827699,30.98092042278277
2013-08-29,27.719986,62.72,0.4262201060571723,0.987460948094153,30.987460948094153
2013-08-30,27.37999,62.24,0.4265526250348893,0.8313546178284916,30.83135461782849
2013-09-03,27.099991,61.72,0.42681238581149983,0.7571305477142296,30.75713054771423
2013-09-04,27.099991,62.16,0.4270513503559744,0.5544790618726303,30.55447906187263
2013-09-05,27.759995,61.63,0.4271624360220699,1.4339740679598307,31.43397406795983
2013-09-06,28.509995,62.76,0.4274749825866264,1.6816650928633265,31.681665092863327
2013-09-09,28.949997,64.0,0.4279824044312732,1.5591231163985135,31.559123116398514
2013-09-10,28.779999,63.92,0.4284910049798132,1.3908539616903397,31.39085396169034
2013-09-11,28.429993,64.355,0.42907164749867777,0.8170871252225886,30.81708712522259
2013-09-12,28.319993,63.945,0.4294354382607294,0.8597439004176586,30.85974390041766
2013-09-13,28.39,64.09,0.42994042412549516,0.8351182177970138,30.835118217797014
2013-09-16,28.76999,64.72,0.43045301478799414,0.9110708829210203,30.91107088292102
2013-09-17,28.579987,64.67,0.43077607768852477,0.7216980558831025,30.721698055883103
2013-09-18,29.289994,66.93,0.43104071560684554,0.44043890443382594,30.440438904433826
2013-09-19,29.26999,66.67,0.4312998833484648,0.5152267771578494,30.51522677715785
2013-09-20,28.809998,65.515,0.431584375025333,0.5347476702153102,30.53474767021531
2013-09-23,28.259995,65.1,0.4318631722267026,0.14570248804166042,30.14570248804166
2013-09-24,28.349991,64.07,0.43205930747500154,0.6679511700766518,30.667951170076652
2013-09-25,28.529999,64.29,0.43228064530676585,0.7386763132280194,30.73867631322802
2013-09-26,28.819993,64.68,0.43258542712143466,0.8403675737856027,30.840367573785603
2013-09-27,28.929993,64.44,0.4328960983638672,1.0341684214323976,31.034168421432398
2013-09-30,28.62999,63.79,0.4332482183222916,0.993086153221018,30.993086153221018
2013-10-01,29.12999,64.76,0.4335534418287776,1.053069107168362,31.053069107168362
2013-10-02,29.069993,64.8,0.4338943194474763,0.9536410998035372,30.953641099803537
2013-10-03,28.76999,63.8,0.4342211570474947,1.0666801803698398,31.06668018036984
2013-10-04,28.589997,63.57,0.43457619422512095,0.9639883331090608,30.96398833310906
2013-10-07,28.599991,63.85,0.43496692799756703,0.8273526473553439,30.827352647355344
2013-10-08,28.119996,63.12,0.43522486739274674,0.6486023701698258,30.648602370169826
2013-10-09,28.25,63.1,0.4355225676589682,0.768525980719108,30.768525980719108
2013-10-10,28.939988,64.61,0.4358433748077348,0.7801475536722577,30.780147553672258
2013-10-11,29.339997,65.23,0.4362467480768283,0.883621622948489,30.88362162294849
2013-10-14,29.299988,65.21,0.43664944211774337,0.8260778795019554,30.826077879501955
2013-10-15,28.779999,65.0,0.4369652228576209,0.3772595142546429,30.377259514254643
2013-10-16,29.399994,66.181,0.43729495831532544,0.4593763637334476,30.459376363733448
2013-10-17,30.009995,67.2,0.43769872400880044,0.5966407466086103,30.59664074660861
2013-10-18,30.109986,67.071,0.4381107090264176,0.7254626348891478,30.725462634889148
2013-10-21,30.089997,66.72,0.4384787021100842,0.8346979952151834,30.834697995215183
